Player Name,fpts
Rob Gronkowski,183.6
Gary Barnidge,158.3
Jordan Reed,157.2
Delanie Walker,150.4
Greg Olsen,150.4
Tyler Eifert,139.5
Travis Kelce,117.5
Benjamin Watson,116.5
Richard Rodgers,102.1
Zach Ertz,95.3
Antonio Gates,93
Jason Witten,87.3
Eric Ebron,83.7
Kyle Rudolph,79.5
Julius Thomas,75.5
Zach Miller,73.9
Jimmy Graham,72.5
Jacob Tamme,71.7
Ladarius Green,70.9
Charles Clay,70.8
Owen Daniels,69.7
Coby Fleener,69.1
Heath Miller,67.7
Crockett Gillmore,65.2
Martellus Bennett,61.9
Brent Celek,57.8
Austin Seferian-Jenkins,57.8
Will Tye,57.6
Jordan Cameron,56.6
Clive Walford,50.9
Vance McDonald,50.6
Scott Chandler*,49.9
Darren Fells,49.1
Jared Cook,48.1
Anthony Fasano,40.9
Vernon Davis,39.5
Ryan Griffin,37.1
Garrett Celek,36.6
Lance Kendricks,36.5
Cameron Brate,34.7
Larry Donnell,34.3
Mychal Rivera,34
Maxx Williams,32.8
Ed Dickson,30.1
Jermaine Gresham,28.3
Luke Willson,27.3
Craig Stevens,24.1
Josh Hill,24
Michael Hoomanawanui,23.6
Virgil Green,23.3
