Player Name,fpts
Antonio Brown,252.2
Julio Jones,239.1
Brandon Marshall,230.2
Allen Robinson,224
Odell Beckham Jr.,223.3
DeAndre Hopkins,220.1
Doug Baldwin,190.9
A.J. Green,187.7
Calvin Johnson,173.4
Eric Decker,172.7
Larry Fitzgerald,171.5
Brandin Cooks,169.6
Jarvis Landry,165.2
Demaryius Thomas,162.4
Allen Hurns,161.1
Sammy Watkins,158.8
Jeremy Maclin,156.2
Emmanuel Sanders,148.4
Tavon Austin,146.7
Michael Crabtree,146.2
Jordan Matthews,145.7
John Brown,142.5
T.Y. Hilton,142.4
James Jones,141
Amari Cooper,140.7
Ted Ginn Jr.,139.9
Mike Evans,136.6
Randall Cobb,129.9
Travis Benjamin,129.8
Rueben Randle,127.7
Kamar Aiken,122.4
Michael Floyd,120.9
Martavis Bryant,120.2
Golden Tate,119.4
Willie Snead,114.4
Tyler Lockett,114.4
Pierre Garcon,113.7
Julian Edelman,111.5
Donte Moncrief,109.3
Marvin Jones,108.9
Markus Wheaton,106.9
Alshon Jeffery,104.7
Terrance Williams,102
Anquan Boldin,100.9
Jermaine Kearse,98.5
Stefon Diggs,97.3
Keenan Allen,94.5
Torrey Smith,92.3
Rishard Matthews,90.6
Nate Washington,89.8
Kenny Britt,86.1
Steve Smith Sr.,85
Danny Amendola,83.3
Dorial Green-Beckham,80.9
Seth Roberts,80
Cole Beasley,79.6
Dwayne Harris,76.8
Marques Colston,76
Devin Funchess,75.3
DeSean Jackson,74.8
Jamison Crowder,74.6
Andre Johnson,74.3
Vincent Jackson,74.3
Corey Brown,72.5
Malcom Floyd,72.1
Robert Woods,71.2
Jerricho Cotchery,68.1
Cecil Shorts III,67.9
Stevie Johnson,67.7
DeVante Parker,67.4
Dontrelle Inman,64.6
Brian Hartline,64.3
Kenny Stills,62
Dexter McCluster,74,-0.
Kendall Wright,60.5
Mike Wallace,59.9
Albert Wilson,59.7
Mohamed Sanu,58.5
Dez Bryant,58.1
Brandon Coleman,57.4
Chris Hogan,57.4
Roddy White,56.6
Davante Adams,56.3
Lance Moore,55.7
Marquess Wilson,52.4
Brandon LaFell,52.4
Leonard Hankerson,50.7
Harry Douglas,50.5
Josh Huff,49.2
Quinton Patton,45.9
Jarius Wright,45.1
Riley Cooper,44.7
Andre Holmes,44.1
Darrius Heyward-Bey,43.4
Chris Givens,43.1
Bryan Walters,42.8
J.J. Nelson,39.9
Ryan Grant,38.8
Keshawn Martin,37.5
Rashad Ross,36.4
