Player Name,fpts,FG,FGA,XPT,value
Stephen Gostkowski NE,144.4,32,37.3,48.4,$11.82
Greg Zuerlein LAR,137.5,32.1,36.6,41.3,$7.59
Chris Boswell PIT,132.2,30.2,34.5,41.6,$4.35
Matt Bryant ATL,131.7,30.5,35.2,40.2,$4.04
Wil Lutz NO,130.7,28.2,33.6,46,$3.43
Harrison Butker KC,130.2,30.6,35.7,38.3,$3.12
Robbie Gould SF,129.5,30.9,34.6,36.9,$2.69
Jake Elliott PHI,129.4,29.4,34.3,41.3,$2.63
Justin Tucker BAL,128.8,31.6,35.6,34.1,$2.27
Kai Forbath MIN,125.1,29.8,35.1,35.7,$0.00
Matt Prater DET,125,29.1,33.8,37.7,
Graham Gano CAR,121.9,28,32.5,37.8,
Adam Vinatieri IND,121.6,28.4,33.3,36.4,
Mason Crosby GB,118.9,25.3,30.7,43.1,
Daniel Carlson MIN,118.1,26.9,32.3,37.4,
Dan Bailey DAL,117.1,26.1,31.8,38.8,
Ryan Succop TEN,117.1,26.6,31.5,37.2,
Josh Lambo JAC,116.7,26.8,30.9,36.4,
Dustin Hopkins WAS,115.6,26.3,32,36.8,
Ka'imi Fairbairn HOU,114.1,26,31.8,36,
Brandon McManus DEN,112,26.8,33.2,31.7,
Phil Dawson ARI,111.4,25.8,31.3,34,
Chandler Catanzaro TB,110.8,25.5,30.5,34.5,
Giorgio Tavecchio OAK,110.7,24.5,30.5,37.2,
Sebastian Janikowski SEA,110.7,25,30.1,35.8,
Caleb Sturgis LAC,110.5,24.3,28.9,37.5,
Steven Hauschka BUF,107.2,25.3,29.3,31.4,
Aldrick Rosas NYG,100.6,23.1,29.5,31.2,
Randy Bullock CIN,100.5,22.7,26.6,32.5,
Jason Sanders MIA,100.1,22.8,27.6,31.6,
Cairo Santos NYJ,100.1,23.2,27.6,30.4,
Zane Gonzalez CLE,95.7,21.6,27,30.9,
Cody Parkey CHI,95.2,21.7,25.5,30.1,
"Nick Novak, LAC K",0,0/0,0,0,
"Nick Folk, TB K",0,0/0,0,0,
"Dan Carpenter, Buf K",0,0/0,0,0,
"Connor Barth, Chi K",0,0/0,0,0,
"Kai Forbath, Min K",0,0/0,0,0,
"Blair Walsh, Sea K",0,0/0,0,0,
"Travis Coons, LAC K",0,0/0,0,0,
"Kasey Redfern, Det K Q",0,0/0,0,0,
"Patrick Murray, TB K",0,0/0,0,0,
"Jason Myers, Sea K",0,0/0,0,0,
"Andrew Franks, Mia K",0,0/0,0,0,
"Roberto Aguayo, LAC K",0,0/0,0,0,
"Younghoe Koo, LAC K",0,0/0,0,0,
"Nick Rose, NYJ K",0,0/0,0,0,
"Sam Ficken, LAR K",0,0/0,0,0,
