Player Name,fpts,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,value
Aaron Rodgers GB,299.9,575,374.7,"3,936.10",31.5,10.1,58,316.3,1.8,3.1,$22.10
Tom Brady NE,296.8,594.5,385.9,"4,565.50",31.8,8.4,29.1,34.8,1.1,3.1,$20.21
Deshaun Watson HOU,285.5,522.1,319.2,"3,785.00",26.3,17.2,77.1,469.3,4,3.8,$13.29
Cam Newton CAR,285.4,520.2,304.8,"3,512.10",22.7,15.7,121.8,595.4,5,2.2,$13.23
Russell Wilson SEA,285,533.2,327.9,"3,784.90",25.3,13.5,90.5,481.6,3,3.4,$12.98
Drew Brees NO,268.7,572,398.5,"4,418.10",27.5,11.8,28.3,27.8,1.3,2.7,$3.00
Alex Smith WAS,265.9,545.1,355.5,"4,116.70",24,9.7,58,273.2,1.5,5.8,$1.29
Andrew Luck IND,265.5,548.9,342.7,"3,952.90",24.9,14.5,63.9,325.4,1.8,3.3,$1.04
Kirk Cousins MIN,265.1,551.2,367.2,"4,067.40",25.8,12.7,48.2,152.9,2.8,3.8,$0.80
Carson Wentz PHI,263.8,511.7,316,"3,652.70",26.5,9.7,64.5,270.8,1.7,3.2,$0.00
Ben Roethlisberger PIT,259.1,590.6,374.8,"4,431.10",27.8,15.3,26.5,48.2,0.4,2.9,
Matthew Stafford DET,258.5,574.5,372.9,"4,251.70",26.1,12,32,118.5,0.8,4.4,
Jimmy Garoppolo SF,257.5,582.4,374.3,"4,339.10",24.2,12.6,40.5,86.8,1.6,3.1,
Patrick Mahomes KC,252,522.5,333.6,"3,873.40",23.1,12.6,56.2,226.3,1.8,1.8,
Matt Ryan ATL,250.1,543,352.8,"4,189.50",24.2,12.1,33.6,114.2,0.7,3,
Jameis Winston TB,248.5,574.1,351.9,"4,246.40",22.9,15.2,46.9,178.2,1.6,5,
Philip Rivers LAC,247.9,575.3,355.4,"4,301.80",26.5,14.2,19.5,29.6,0.2,3,
Jared Goff LAR,244.1,533.3,325.5,"3,953.90",25.5,11.3,32,81.7,1.1,4.2,
Marcus Mariota TEN,242.5,492.9,305.3,"3,454.80",21.9,15.2,66.1,362.9,2.9,3.4,
Dak Prescott DAL,240.5,491.8,312.8,"3,455.00",21.6,14,56.9,308.7,3.5,4,
Blake Bortles JAC,234.1,524.9,311.1,"3,611.50",20,12.8,56.4,328.1,1.7,4,
Ryan Tannehill MIA,225.1,552.2,349.5,"3,842.90",22.3,16.3,41,162.7,1,3.8,
Mitch Trubisky CHI,224.6,514.5,313.7,"3,478.20",19,12.3,57,286.3,2.2,3.8,
Derek Carr OAK,224.5,563.6,343.1,"3,832.60",23.5,13.1,29.8,76.3,0.7,4.4,
Case Keenum DEN,223.3,566.8,355.3,"3,912.10",21.7,13.4,33.1,114.8,0.9,5,
Eli Manning NYG,219.3,589.2,360.3,"3,832.10",23.7,14.1,15.9,28.5,0.8,4.2,
Andy Dalton CIN,217.3,523,318.8,"3,605.80",22,12.7,41.7,126.4,1.1,4.4,
Tyrod Taylor CLE,199.7,428.9,259.8,"2,871.50",16.6,8.9,53.7,294.4,2.6,4.2,
Joe Flacco BAL,181.8,524.5,323.3,"3,160.90",18.4,13.1,24.6,48,1.1,1.7,
Sam Bradford ARI,147.8,386.6,246.1,"2,757.10",14.3,8.8,16.4,25.4,0.2,2.8,
Josh McCown NYJ,106.8,279.8,171.9,"1,936.50",10.3,8,15.8,59.6,0.4,2.2,
AJ McCarron BUF,99.1,281.8,169.4,"1,782.50",9.3,7.3,17.6,56.5,0.3,1.2,
Sam Darnold NYJ,90.3,248.6,150.2,"1,651.60",9,7.9,18.1,58.3,0.3,1.8,
Josh Allen BUF,79.7,222.4,131.4,"1,404.80",7.8,7,15.6,50,0.6,1.2,
Josh Rosen ARI,75.9,198.9,120.7,"1,370.00",7.2,5.1,10,27.7,0.2,0.8,
Baker Mayfield CLE,57.3,132.3,77.8,878.7,5.3,3.6,13.7,61.9,0.5,0.6,
Lamar Jackson BAL,32.7,44.5,25.6,272.2,1.8,1.3,24.7,159.7,0.9,2.2,
Nick Foles PHI,29,61.6,39.3,446.8,3.4,0.7,2.7,6.8,0,1,
Taylor Heinicke CAR,13.2,35,20,224,1,0,1,2,0,0,
Landry Jones PIT,12.1,35,21,242,1,1,4,4,0,0,
Blaine Gabbert TEN,11.3,28.9,17.4,188.2,1.1,0.6,2.1,6.7,0,0,
Ryan Fitzpatrick TB,8,19.3,11.3,134.6,0.7,0.4,1.4,5.5,0,0,
Cooper Rush DAL,7,15,9,100,0.5,0,2,10,0,0,
DeShone Kizer GB,6.9,18,10.5,115,0.5,0.5,2.5,13,0,0,
Chase Daniel CHI,6.5,16.5,9.4,107.6,0.6,0.1,1.1,1.2,0,0,
Brock Osweiler MIA,6.5,15.9,9.6,101,0.7,0.4,0.7,3.5,0,0,
Cody Kessler JAC,6.2,14.9,8.9,100.1,0.7,0.4,0.7,1.5,0,0,
Jacoby Brissett IND,6.1,16,9.6,103.5,0.4,0.4,2.4,10.5,0,0,
Matt Barkley CIN,5.9,13.9,7.9,89.9,0.6,0.1,1.1,2.2,0,0,
Brandon Weeden HOU,5.7,16.4,9.4,109.7,0.6,0.6,1.1,2.2,0,0,
Davis Webb NYG,5.4,16.5,9.4,103.7,0.6,0.6,1.1,1.7,0,0,
Paxton Lynch DEN,5.2,15.3,8.9,100.5,0.4,0.7,1.7,10.8,0,0,
EJ Manuel OAK,4.8,13.3,7.6,86,0.4,0.4,1,6.5,0,0,
Tom Savage NO,4.6,12.2,7.2,79.4,0.4,0,0.7,0.5,0,0,
Geno Smith LAC,4.6,13.6,7.9,86.6,0.4,0.4,1.4,4.1,0,0,
Brian Hoyer NE,4.6,12.3,7.3,75.2,0.4,0,0.4,0.5,0,0,
Colt McCoy WAS,4.5,12.6,7.9,90.5,0.4,0.4,0.7,1.1,0,0,
Matt Schaub ATL,4.1,9.2,5.6,66.3,0.4,0,0.4,0.8,0,0,
Chad Henne KC,4,10.9,6.6,80,0.4,0.4,1,1.1,0,0,
Sean Mannion LAR,3.7,11.2,6.6,69,0.4,0.4,3,1.8,0,0,
C.J. Beathard SF,3.5,9.3,5.6,61.3,0,0,1.7,8.1,0,0,
Jake Rudock DET,3.4,20,11,134,0,1,0,0,0,0,
Trevor Siemian MIN,3,9.3,5.9,62.1,0,0,1,4.5,0,0,
Austin Davis SEA,2.9,10.9,6.2,67.9,0,0,0.7,1.1,0,0,
