Player Name,fpts,ATT,YDS,TDS,REC,YDS,TDS,FL,value
Antonio Brown PIT,206.3,0,0,0,107.4,"1,506.80",9.3,0.2,$55.96
DeAndre Hopkins HOU,189.3,0,0,0,94.1,"1,315.00",10,1.1,$45.56
Julio Jones ATL,179.9,2,13.3,0.1,90.1,"1,386.50",6.7,0.2,$39.80
Keenan Allen LAC,161.5,2,10.7,0,98.6,"1,220.30",6.5,0.3,$28.53
Davante Adams GB,161.1,0,0,0,86,"1,043.30",9.6,0.4,$28.29
Odell Beckham Jr. NYG,161.1,2.8,17.4,0.1,93.4,"1,174.90",7.2,0.9,$28.29
T.Y. Hilton IND,152.1,0,0,0,72.6,"1,129.30",7,1.3,$22.78
A.J. Green CIN,150.9,0,0,0,82.5,"1,149.00",6.8,2.3,$22.04
Michael Thomas NO,150.2,0.5,2.5,0,89.8,"1,099.20",6.8,0.3,$21.61
Doug Baldwin SEA,148.6,3,14.8,0.1,83.7,"1,054.70",7,0.3,$20.63
Mike Evans TB,147.9,0,0,0,79.6,"1,083.00",6.7,0.4,$20.21
Stefon Diggs MIN,145.7,7.2,38.6,0.1,78.7,"1,000.50",7,0.3,$18.86
Adam Thielen MIN,143.8,2.1,12.5,0,83.5,"1,121.90",5.9,2.6,$17.70
Tyreek Hill KC,141.5,16.9,101.2,0.8,72.6,940.1,5.6,0.5,$16.29
Josh Gordon CLE,135.8,1,5.9,0,68.6,"1,024.50",5.7,0.6,$12.80
JuJu Smith-Schuster PIT,135.1,0.5,2.5,0,68.1,949,6.7,0.2,$12.37
Amari Cooper OAK,133.8,1.5,8,0,72.8,964.1,6.2,0.4,$11.57
Demaryius Thomas DEN,133.7,0,0,0,86,"1,019.00",5.9,1.7,$11.51
Alshon Jeffery PHI,131.3,0,0,0,62.6,879.1,7.4,0.4,$10.04
Marvin Jones DET,129.1,0,0,0,61.2,902.6,6.6,0.4,$8.69
Julian Edelman NE,127.9,5.4,29.9,0.1,79.3,929.7,5.9,1.9,$7.96
Golden Tate DET,124.8,5.1,23.7,0.1,87.2,951.1,5,1.5,$6.06
Brandin Cooks LAR,123.5,6.7,36,0.2,58.8,853.8,5.8,0.5,$5.27
Allen Robinson CHI,122.1,0.5,2.5,0,63.2,894,5.5,0.3,$4.41
Michael Crabtree BAL,120.2,0,0,0,77.7,819.7,6.4,0.2,$3.25
Larry Fitzgerald ARI,119.9,0,0,0,93.8,939,4.8,1.5,$3.06
Emmanuel Sanders DEN,116.3,0,0,0,71,893.2,4.6,0.4,$0.86
Devin Funchess CAR,116,0,0,0,57.7,802.4,6.1,0.3,$0.67
Randall Cobb GB,116,9.7,53.9,0.2,75,767.1,5.6,0.3,$0.67
Marquise Goodwin SF,114.9,4.5,29.2,0.1,55.5,853.1,4.5,0.4,$0.00
Pierre Garcon SF,114.6,0,0,0,70.7,917.7,3.9,0.4,
Chris Hogan NE,114.4,3.4,20.5,0.1,52.7,758.7,6.2,0.4,
Robert Woods LAR,113.1,2.1,11.4,0.1,66.8,868.2,4.6,1.4,
Cooper Kupp LAR,112.8,0,0,0,63.9,828.3,5.4,1.3,
Robby Anderson NYJ,111,3.5,18.1,0.1,58.5,790.5,5.1,0.4,
Sammy Watkins KC,109.9,0.5,2.5,0,54.7,786,5.2,0.2,
Rishard Matthews TEN,107.3,0.5,2,0,56.8,782.9,4.9,0.4,
Will Fuller HOU,106.7,3.3,18.5,0.1,50.8,727.4,5.4,0.4,
Jordy Nelson OAK,106.5,0,0,0,65.7,748.5,5.5,0.7,
Devante Parker MIA,105.5,0,0,0,63.6,799.5,4.4,0.3,
Kenny Golladay DET,105.1,0.5,3,0,51,793.6,4.4,0.4,
Marqise Lee JAC,104,3.3,20,0.1,59.5,761.3,4.4,0.4,
Josh Doctson WAS,102.7,1,4,0,50.6,712.6,5.3,0.5,
Kenny Stills MIA,102.6,0,0,0,55.1,777.6,4.9,2.2,
Jarvis Landry CLE,102.5,1.5,7.7,0,82.3,821.7,4.4,3.3,
Kelvin Benjamin BUF,101.8,0,0,0,57,772.1,4.2,0.4,
Corey Davis TEN,101.8,0,0,0,65.4,772,4.9,2.4,
DeSean Jackson TB,100.5,3.4,20.7,0.1,53.4,777,3.5,0.4,
Sterling Shepard NYG,98.4,3.6,20.7,0.1,62,711.9,4.3,0.4,
