Player Name,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,fpts
Chicago Bears,42.2,16.5,11.5,16.9,3.2,0.5,311.5,"5,118.70",118.9
Los Angeles Rams,41.3,16.1,11,16.6,2.9,0.5,345,"5,680.90",113.5
Baltimore Ravens,37.2,16.3,9.4,12.6,3.4,0.2,314.4,"5,132.80",109
Cleveland Browns,38.4,15.9,10.9,16.5,2.7,0.2,356.7,"5,627.20",108.5
New Orleans Saints,42,14.6,10.8,17.3,2.4,0.5,335.9,"5,698.20",108
Minnesota Vikings,44,14.8,8.7,12.9,2.7,0.5,331.7,"5,212.00",107.9
Indianapolis Colts,39.9,14,11.2,17.3,2.6,0.5,355,"5,667.20",107
Philadelphia Eagles,40.8,13.8,10.2,13.3,2.8,0.9,336.5,"5,507.70",106.9
Pittsburgh Steelers,44.6,13.5,10,13.9,2.5,0.2,345.2,"5,484.10",106.7
Denver Broncos,40.6,13.6,10.9,17.5,2.5,0.5,355.7,"5,613.80",105.9
Houston Texans,36.7,13.8,11.7,19,3,0.2,341.8,"5,665.40",105.8
Carolina Panthers,39.2,13.6,11.2,18.2,2.7,0.5,381.4,"5,845.60",105.7
New England Patriots,36.6,15.7,9.7,14.4,2.9,0.5,318.7,"5,547.30",105.5
Kansas City Chiefs,39.3,13.6,10.8,16.9,2.6,0.6,372.9,"5,923.70",105.1
Jacksonville Jaguars,38.8,14.1,9.8,12.6,2.9,0.5,334.8,"5,185.10",104.9
Los Angeles Chargers,38.6,14.1,10,13.6,2.8,0.5,330.7,"5,482.90",104.8
Buffalo Bills,35.4,15.9,10.7,17.2,2.6,0.2,348.4,"5,098.60",104.6
Arizona Cardinals,43,12.4,9.9,15.3,2.4,0.9,394.9,"5,763.40",103.8
Washington Redskins,41.7,13.4,10.2,16.8,2.1,0.2,369.3,"5,663.10",102
Seattle Seahawks,35.6,13.2,11.4,18,2.5,0.2,352,"5,658.10",100.2
Green Bay Packers,39.1,13,9.4,12.5,2.4,0.2,382.7,"5,749.60",98.4
Tennessee Titans,37.5,13.8,9,14,2.5,0.2,340.4,"5,579.30",98.4
Dallas Cowboys,36.9,13,11.1,15.1,2.1,0.2,342.2,"5,409.30",98.2
New York Jets,34.7,13.5,9.4,13.6,2.5,0.5,385.7,"5,746.30",96.7
Atlanta Falcons,35.4,13.2,9.2,13.2,2.3,0.5,394.1,"5,993.30",95.3
Detroit Lions,38.1,11.5,9.5,14.1,2.4,0.5,368.4,"5,690.80",95.3
San Francisco 49ers,38,11.1,9.7,13.2,2.5,0.2,406.1,"5,659.80",95.1
New York Giants,33,14,8.8,11.2,2.2,0.5,384.1,"5,801.80",93.2
Cincinnati Bengals,33,14.1,8.5,12.7,2.5,0.2,390.6,"5,928.50",93.2
Miami Dolphins,29.4,14.2,8.3,12.4,2.6,0.5,417.3,"6,180.40",91.1
Tampa Bay Buccaneers,34.1,11.4,10,14.5,2.1,0.5,421,"6,186.20",90.6
Oakland Raiders,26.8,12.8,8.1,10.9,1.9,0.1,429.6,"6,202.30",80.3
