Player Name,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,fpts
Patrick Mahomes KC,581.2,379.9,"4,778.60",36,13.3,52.4,220.7,2,2,338.4
Deshaun Watson HOU,511.7,337.8,"4,072.40",26.4,12,95.2,501,4.4,2.7,315.6
Aaron Rodgers GB,590,374.8,"4,284.60",29.5,7.6,46.2,260.5,2.1,2.1,308.6
Matt Ryan ATL,585,394.9,"4,634.20",30,10.6,48.2,131.7,1.5,2.1,301.9
Cam Newton CAR,520.4,339.6,"3,807.30",24.6,13.8,112.9,510.4,4.4,1.7,297.4
Andrew Luck IND,577,379,"4,327.90",31.9,13.7,50,210.4,1.2,2.4,296.5
Drew Brees NO,539.3,387.9,"4,344.20",30.4,8.8,24.7,39.2,1.9,1.6,290
Jameis Winston TB,564.7,358.8,"4,455.10",27.5,16.6,57.2,277.2,1.6,2.7,287.2
Jared Goff LAR,550.5,352,"4,376.20",30.5,11.7,31.1,102.9,1.2,2.2,286.7
Carson Wentz PHI,569.3,376.8,"4,244.60",30.3,12.2,52.4,192.4,1,2.6,286.5
Dak Prescott DAL,522.6,344.7,"3,860.70",23.7,10.8,68,311.4,5.3,2.3,285.9
Baker Mayfield CLE,562,361.1,"4,310.90",30.9,14.5,47.1,182.6,0.9,2.4,285.7
Ben Roethlisberger PIT,620.5,407.1,"4,645.90",29.4,15.2,23.3,74.4,1.2,1.8,284.2
Russell Wilson SEA,454.7,293,"3,571.40",27.8,9.5,73,361.8,2,2.1,279.3
Lamar Jackson BAL,436.2,259.2,"3,016.60",17.4,10.8,177.5,829,6.4,5.2,279.3
Tom Brady NE,580.7,379.3,"4,368.50",29.2,10.8,20.7,37.6,1,1.5,276.8
Mitch Trubisky CHI,513.8,334.6,"3,776.60",25.1,13,66.2,378.5,2.4,2.4,272.8
Kirk Cousins MIN,573.3,394.9,"4,153.40",27.4,11.9,38.8,133.2,1.9,2.4,271.5
Philip Rivers LAC,546.8,360.5,"4,370.60",29.9,12.3,13.7,24.4,0.2,1.4,270.8
Kyler Murray ARI,544.5,336.1,"3,721.10",21.4,14.5,107,505.5,3.1,3.2,268.4
Josh Allen BUF,478.9,270.2,"3,205.20",17.4,14.4,102.5,609.2,6.2,2.7,261.9
Jimmy Garoppolo SF,520.7,334.8,"4,082.00",25.2,14.2,37.7,123.4,1.3,2,251.5
Derek Carr OAK,570.5,379.6,"4,106.70",23.9,12.3,24.5,68.6,0.6,2.1,241.9
Matthew Stafford DET,557.6,367.5,"3,940.00",24,11.4,28.9,77.9,0.7,1.7,239.4
Andy Dalton CIN,536.6,333.1,"3,705.70",24.2,13.9,33.1,120.2,0.9,1.7,230.8
Sam Darnold NYJ,530.7,321,"3,659.90",22.7,15.6,48,188.7,1.6,2.2,229.9
Marcus Mariota TEN,446.1,293.4,"3,264.80",18.3,12.6,70.2,358.2,2.6,2.4,225.4
Nick Foles JAC,532.2,339,"3,785.70",21.6,13.4,33.1,76.5,0.9,2,220.4
Eli Manning NYG,485.7,306.7,"3,321.90",18.7,10.6,20.1,49.1,1,2.2,192.9
Joe Flacco DEN,470,289.3,"3,213.70",17.8,11.8,24.1,91.1,0.9,1.3,188.1
Ryan Fitzpatrick MIA,302.4,189.5,"2,545.40",15.2,11.1,29.6,185.2,1.4,1,164.8
Dwayne Haskins WAS,348,213.3,"2,384.60",12.5,10.3,15.7,56.2,0.5,1.4,130.2
Case Keenum WAS,151.4,91.7,"1,240.10",6.8,5.2,11.7,55.1,0.5,0.6,74
Josh Rosen MIA,217.9,133.2,"1,299.50",6.5,6.1,14.7,61,0.3,1.5,71
Daniel Jones NYG,101.8,63.2,813.8,4.4,3.5,6.3,35.7,0.3,0.7,46.9
Drew Lock DEN,111.3,68.6,772.3,4.1,3.2,8.8,37.4,0.3,0.4,45.4
C.J. Beathard SF,69.5,41,478,2.5,2,4,13,0,0,26.4
Taysom Hill NO,9.5,5.9,120,0.5,0.5,35.1,142.2,1.1,0.5,25.7
Colt McCoy WAS,55.6,34.7,396,2,1.7,4.4,14.9,0.1,0.7,21.1
Jacoby Brissett IND,43.8,27,307.4,2.2,1,4.2,16.2,0.1,0.3,20.6
Jeff Driskel CIN,34,19.9,262.6,1.4,1,4.1,16.7,0.1,0.1,16.2
Ryan Tannehill TEN,35.2,21.8,279.4,1.5,1.5,4,14.6,0.1,0.1,15.8
Nate Sudfeld PHI,33.8,20.3,238.7,1.9,1.4,2.2,9.4,0,0.2,15
Blaine Gabbert TB,33.4,20.2,234.6,1.5,1,2,9.3,0.1,0.1,14.4
Gardner Minshew JAC,37.6,22,268.6,1.3,1.6,2,6.3,0.1,0.1,13.7
Will Grier CAR,33.4,21.4,252.6,1.2,1,1.8,3.8,0.1,0.1,13.6
Nick Mullens SF,31.4,19.8,231.4,1.2,1,2.2,2.2,0,0.1,12.1
Chase Daniel CHI,27,16.7,195.2,1.2,0.8,2.7,7.2,0,0.1,11.8
John Lovett KC,0,0,266.1,0.8,1.6,0,0.6,0.2,0.1,11.8
Blake Bortles LAR,20.3,12.3,178.3,0.9,0.6,3.4,14,0.1,0.1,11.5
Robert Griffin BAL,24.5,15.1,186.6,1,0.8,3.3,11.9,0.1,0.2,11.5
Josh McCown PHI,24,16,171,1,1,4,16,0,0,10.4
Taylor Heinicke CAR,28,18.3,187.6,0.8,0.9,2.4,10.5,0.1,0,10.4
Brett Hundley ARI,26.9,16,178.1,0.9,0.7,2,9.3,0.1,0.1,10.2
Paxton Lynch SEA,19.4,12.2,158.3,0.9,0.6,2.9,9.7,0.1,0,10
Jarrett Stidham NE,18,12,137,1,0,1,4,0,0,9.9
Teddy Bridgewater NO,21.6,13.3,160.6,1,0.5,2.8,5.3,0,0,9.8
Trevor Siemian NYJ,26,15.6,182.5,0.9,1,2.1,6.9,0.1,0,9.8
Matt Barkley BUF,24.7,15.1,185.4,0.9,1,2.5,3.8,0,0.1,9.5
Tyrod Taylor LAC,17.6,10.8,128.4,0.7,0.6,2.6,10.2,0.1,0,8.3
Ryan Finley CIN,19.5,11.8,128.2,0.9,0.4,0.8,2.6,0,0.1,8.2
Joshua Dobbs PIT,21.3,13.1,130.2,0.8,0.7,2.3,9.7,0,0,8.2
Cooper Rush DAL,20,12.3,131,0.6,0.3,1.6,7.7,0,0,8
Brian Hoyer NE,18.1,11,138,0.6,0.7,2.6,4.3,0.1,0.1,7.5
Chad Henne KC,16.6,10.5,126.4,0.6,0.2,1.9,2.9,0,0,7.3
Drew Stanton CLE,18,10.7,140.8,0.6,0.8,1.8,6.5,0,0,7.2
DeShone Kizer GB,18.4,10.9,132.8,0.5,0.7,1.9,8,0.1,0.1,7
Mike Glennon OAK,19.2,12.3,142.3,0.7,0.5,1.6,1.6,0,0.5,6.5
AJ McCarron HOU,15.2,9.6,110,0.7,0.4,1.7,2.8,0,0.1,6.3
