Player Name,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Saquon Barkley NYG,269.2,"1,258.00",9.7,87,696.1,3.4,1.6,270.6
Christian McCaffrey CAR,212.8,"1,041.50",6.7,96.7,819.7,5,1.7,253
Alvin Kamara NO,194.4,894.8,9.5,86.4,755.1,4.6,1.4,246.6
Ezekiel Elliott DAL,288.6,"1,278.80",8.8,65.7,505,2.6,1.9,242.6
David Johnson ARI,247.9,995.3,7.4,60.8,576.1,3.1,2.5,215.6
James Conner PIT,231.2,"1,047.40",9.8,54.3,443.7,1.6,1.9,213.7
Le'Veon Bell NYJ,246.8,"1,047.40",7.3,60.4,499.4,2.5,1.7,210.2
Todd Gurley LAR,211,986.8,9.6,44,403.1,2.5,1.7,207.8
Joe Mixon CIN,248,"1,151.10",8.5,47,346.2,1.2,1.5,205
Nick Chubb CLE,248.7,"1,184.00",9.2,32.2,246.8,1.5,1.2,204.7
Dalvin Cook MIN,238.2,"1,094.60",6.6,58.6,448.2,2.2,2.7,201.4
Melvin Gordon LAC,193.2,894,8.1,47.5,427.6,2.6,1.1,194.2
Derrick Henry TEN,249.1,"1,172.60",9.8,16.5,124.1,0.3,1,188.1
Kerryon Johnson DET,217.6,"1,033.80",6.4,52.9,381,1.8,1.9,187.3
Chris Carson SEA,241.2,"1,124.70",8.3,27.6,218.1,0.9,2.1,185.2
Damien Williams KC,166.9,793,7.3,51.6,414.4,3.9,1.4,184.9
Leonard Fournette JAC,249.2,948.9,7.6,43.9,366.2,1.5,1.3,183.5
Marlon Mack IND,232.9,"1,058.70",8.3,28,199.6,1,1.3,179.3
Aaron Jones GB,184.3,939.3,8.2,36.9,283.8,1.4,1.3,177
Devonta Freeman ATL,206.5,884.7,7,45.1,350.6,1.9,1.3,174.4
Josh Jacobs OAK,211.2,920.4,6.4,41,342.2,1.5,1.5,170.8
Sony Michel NE,237.8,"1,079.00",9.4,9.6,74.6,0.3,1.6,170.2
David Montgomery CHI,199.1,870.3,6.3,34.3,282.7,1.4,1.7,158.5
Mark Ingram BAL,220.2,921.4,6.6,31.5,242,0.9,2,157.6
Phillip Lindsay DEN,178.2,876.9,6.3,34.5,253,1,0.8,154.8
Lamar Miller HOU,213.3,924.4,5,30.6,231,1.1,0.9,150.4
Kenyan Drake MIA,140.1,641.4,3.8,52.8,437.7,2.7,1.6,143.9
Tevin Coleman SF,170,771.4,4.9,26.9,238.7,1.5,0.9,137.5
James White NE,71.5,300.5,2.6,73,635.3,4.3,0.5,133.8
Derrius Guice WAS,169,724.2,5.2,26.3,221.4,0.8,1.6,127.7
Peyton Barber TB,182.5,737.8,4.5,21.4,142.7,0.7,1.3,116.4
Miles Sanders PHI,152,589.8,4.3,32.6,261.3,1.4,1.4,116.3
Tarik Cohen CHI,79.3,330.1,2.1,59.8,558.6,2.9,1.6,116.1
Austin Ekeler LAC,106.2,494.1,2.8,39.1,368.9,2.2,1.1,114.1
LeSean McCoy BUF,157.8,616.7,3.6,29.1,227.4,0.7,1,108.2
Jordan Howard PHI,159.9,658.1,5.3,16.2,109.7,0.2,1.1,107.7
Rashaad Penny SEA,148.9,677.7,3.9,18.2,139,0.7,1,107.6
Latavius Murray NO,159.4,608,6,16.4,105.3,0.2,0.8,106.6
Royce Freeman DEN,165.8,629.2,4.4,15.7,109.7,0.3,1.2,99.5
Darrell Henderson LAR,120.9,537.3,3.6,24.4,206.1,0.9,1.3,98.6
Matt Breida SF,113,498.2,3.1,25.2,221.2,1.1,0.7,95.4
Duke Johnson HOU,81.5,345.4,2,41.6,379.3,1.8,0.6,93.9
Dion Lewis TEN,110.5,420.2,2.3,43,306.7,0.9,0.9,89.9
Kalen Ballage MIA,132.3,575.5,3.4,20.4,150.6,0.3,2.6,89.8
Adrian Peterson WAS,128.1,531.6,3.6,14.9,118.1,0.4,1.3,86.2
Jaylen Samuels PIT,77.1,334.2,1.9,33.3,271,2.1,0.6,83.3
Ronald Jones II TB,134,477.3,3.8,17.7,121.5,0.4,1,82.9
Nyheim Hines IND,76.6,294.2,1.5,44.6,326.7,1.8,0.6,80.8
C.J. Anderson DET,110.8,491.7,3.4,13.7,99.9,0.4,0.9,80.1
Jamaal Williams GB,106.6,423.4,2.8,23.7,186.6,0.6,0.8,79.5
Ito Smith ATL,93,385.4,3,25.4,179.8,0.6,0.6,77.5
Jalen Richard OAK,53.6,243.6,1.2,50.3,423.3,1.1,1.9,76.8
Carlos Hyde KC,113.6,428.9,3.7,15,99.1,0.3,0.7,75.1
Chris Thompson WAS,55.6,232.3,0.9,46.3,357.9,1.6,0.6,72.9
Kareem Hunt CLE,79.7,342.1,2.8,17.8,162.4,1,0.5,72.1
Jerick McKinnon SF,70.3,319,2.1,23.7,197.9,0.9,0.6,68.2
Damien Harris NE,94.2,351,3,15.3,131.5,0.6,0.9,67.8
Giovani Bernard CIN,75.4,288.5,1.9,33.8,245,0.6,0.4,67.7
Gus Edwards BAL,93.9,449.5,3,2.5,21.1,0.1,0.4,64.6
Devin Singletary BUF,91.2,346.1,1.9,16.5,143,0.5,0.9,61.4
Alexander Mattison MIN,88,339.8,2.3,15.4,114.5,0.6,0.9,61
Frank Gore BUF,92.7,374.3,1.7,11.8,103.8,0.4,0.6,59.5
Justin Jackson LAC,81.4,319.9,2.3,13.1,110.6,0.3,0.8,57.4
Justice Hill BAL,75.1,303.7,2.1,15.8,124,0.5,0.9,56.6
Rodney Anderson CIN,55,256,2,15,135,1,1,55.1
Mike Davis CHI,65.5,280,2.2,16.7,117.6,0.3,0.5,54
Alfred Blue JAC,82.6,308.2,1.6,15.9,124.1,0.3,0.4,53.7
Darwin Thompson KC,44.8,194.2,1.7,17.6,163.9,1,1.1,49.6
Tony Pollard DAL,64.6,232.4,1.6,14.5,120.5,0.4,0.8,46.1
Doug Martin OAK,66.6,286.7,1.8,7.2,51,0.1,0.8,44
Chase Edmonds ARI,53.1,232.6,1.6,12.9,100,0.2,0.5,42.8
Bilal Powell NYJ,58.6,247.1,1.1,10.2,84.9,0.4,0.5,41.4
Rex Burkhead NE,41.9,158.9,1.6,15.1,128.3,0.7,0.7,41.3
Corey Clement PHI,45.4,185.7,1.6,14.1,112.1,0.3,0.4,40.7
Elijah McGuire NYJ,42,162.5,1.1,15.8,142.9,0.8,0.8,40.4
Zach Zenner DET,36.4,210.2,1.7,10.2,78.7,0.2,0.2,40.2
Ty Montgomery NYJ,49.7,162.1,1.2,16.7,137.4,0.6,0.8,39
T.J. Yeldon BUF,41.3,159,0.8,17.3,146.4,0.5,0.2,38.2
Andre Ellington TB,28.4,108.7,1.1,23.3,197.1,0.3,0.6,37.3
