Player Name,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,fpts
Tampa Bay Buccaneers,,46.4,15.5,11.2,17.4,2.9,1,372.8,"5,519.30",118.8
Pittsburgh Steelers,,47.7,14.7,10.2,15.5,2.7,1,369.1,"5,553.60",115.9
Los Angeles Rams,,46.6,14.2,10.7,15.8,2.7,1,371.3,"5,619.50",114.8
Washington Football Team,,47.2,13.9,10.5,15.7,2.5,0.5,375.7,"5,604.90",112.1
Indianapolis Colts,,42,13.9,10.7,17,2.9,1,387.2,"5,812.80",110.8
Baltimore Ravens,,38.7,13,11.2,17.8,3.2,1,354.5,"5,643.00",108.2
Philadelphia Eagles,,45.8,12.4,10.2,16.4,2.4,1,409.7,"6,067.40",107.8
Seattle Seahawks,,41.5,13.7,9.9,14.9,2.4,1.5,395.1,"6,024.90",106
Buffalo Bills,,40.2,14.7,9.7,15,2.6,0.5,370,"5,740.50",105.8
New Orleans Saints,,43.3,14.5,9.1,12.6,2.5,0,380.8,"5,642.30",105.4
Arizona Cardinals,,46.4,11.6,10.5,17.1,2.1,1,393.7,"5,969.90",105.3
New England Patriots,,39.8,15.4,8.9,12.8,2.6,0.5,355,"5,816.30",105
Miami Dolphins,,38.2,15.2,9.1,15.5,2.7,1,404.3,"6,208.20",105
Dallas Cowboys,,39.3,13,11.8,19.3,2.6,0,408,"6,102.30",104.8
Kansas City Chiefs,,37.4,14.4,9.5,15,3.1,0.5,388.7,"5,970.90",104.7
Carolina Panthers,,36.8,13.5,12.1,20.6,2.6,0.5,427.1,"6,062.20",104.5
Green Bay Packers,,42,14.2,8.8,14.1,2.5,0.5,387.3,"5,921.20",104.2
Cleveland Browns,,39,14,10.1,15.2,2.5,1,392.7,"5,927.70",103.9
San Francisco 49ers,,41.6,12.8,10.2,16.3,2.4,0.5,376.7,"5,504.80",103.1
Denver Broncos,,41.7,12.8,9.1,13.9,2.5,0.5,399.5,"5,923.40",101.2
New York Giants,,39.6,12.9,10,16.7,2.4,0.5,411.5,"6,079.90",101
Los Angeles Chargers,,37.6,13.3,8.6,12.1,2.7,0.5,396.2,"5,750.20",98.3
Atlanta Falcons,,34.7,13.5,10.4,17.4,2.5,0,407.3,"6,233.10",97.7
Minnesota Vikings,,35.2,14,8.9,14.8,2.5,0,401.6,"6,164.30",95.8
Chicago Bears,,36.1,11.9,10.1,16.5,2.2,0.5,398.4,"5,850.00",94.3
Tennessee Titans,,32.6,14.3,8.8,14.5,2.4,0,420.2,"6,214.60",93.5
New York Jets,,35.4,12.7,9,15.6,2.1,0,422.9,"5,991.40",91.4
Jacksonville Jaguars,,31.8,12.8,8.2,12.8,2.5,0.5,448.5,"6,469.60",89.6
Las Vegas Raiders,,31.9,12.8,8.9,13.8,2.3,0,450.4,"6,156.30",89.3
Detroit Lions,,32.4,10.7,8.6,14.6,2,0.5,475.9,"6,628.70",84.1
Houston Texans,,33.7,10.6,8.6,13.8,2,0,474.4,"6,647.20",83.9
Cincinnati Bengals,,27.7,12.9,8.4,13.9,2,0.5,442.4,"6,352.00",83.2
