"Player Name","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","fpts"
"San Francisco 49ers","","3.0","1.1","0.6","0.9","0.1","0.1","13.5","325.0","8.5"
"Dallas Cowboys","","2.8","1.1","0.6","1.1","0.1","0.0","17.3","324.7","8.1"
"Philadelphia Eagles","","2.9","0.9","0.6","0.9","0.1","0.0","16.7","329.1","7.8"
"Los Angeles Chargers","","3.0","0.8","0.6","1.0","0.1","0.1","19.5","348.5","7.8"
"Houston Texans","","3.0","0.8","0.5","0.7","0.2","0.1","18.8","355.8","7.5"
"Minnesota Vikings","","2.5","1.0","0.5","0.6","0.2","0.0","17.5","320.3","7.5"
"New York Jets","","2.5","0.9","0.6","0.7","0.1","0.0","18.7","318.6","7.3"
"Buffalo Bills","","2.5","0.9","0.5","0.7","0.1","0.1","16.5","309.6","7.3"
"Seattle Seahawks","","2.5","0.8","0.6","0.7","0.1","0.1","18.5","319.7","7.2"
"Miami Dolphins","","2.2","0.9","0.5","0.9","0.1","0.0","18.1","340.8","7.1"
"Jacksonville Jaguars","","2.3","0.9","0.6","0.8","0.2","0.0","17.0","313.8","7.1"
"Cincinnati Bengals","","2.3","0.8","0.6","0.8","0.1","0.0","17.7","291.6","7.1"
"Indianapolis Colts","","2.3","0.9","0.5","0.7","0.1","0.1","18.2","324.0","7.0"
"Kansas City Chiefs","","2.6","1.1","0.5","0.7","0.2","0.0","21.5","334.6","6.8"
"New Orleans Saints","","2.4","0.7","0.5","0.7","0.1","0.1","19.0","305.6","6.8"
"Pittsburgh Steelers","","2.4","0.9","0.6","0.8","0.1","0.0","20.1","339.1","6.2"
"Baltimore Ravens","","2.6","0.8","0.6","0.8","0.1","0.0","24.3","350.5","6.2"
"Los Angeles Rams","","2.6","0.8","0.5","0.7","0.1","0.0","22.9","346.0","6.2"
"New England Patriots","","2.0","0.9","0.6","0.8","0.2","0.0","24.8","344.4","6.0"
"Carolina Panthers","","2.3","0.9","0.5","0.5","0.1","0.0","22.1","323.1","6.0"
"Cleveland Browns","","2.3","0.9","0.5","0.7","0.1","0.0","21.1","326.8","6.0"
"Washington Commanders","","2.1","0.9","0.6","0.8","0.1","0.0","24.9","343.0","5.9"
"New York Giants","","2.4","0.7","0.7","1.0","0.1","0.0","27.3","391.8","5.9"
"Chicago Bears","","2.2","0.9","0.5","0.6","0.1","0.0","24.1","406.2","5.8"
"Green Bay Packers","","1.9","0.9","0.6","0.8","0.1","0.0","22.8","381.4","5.7"
"Denver Broncos","","2.2","0.8","0.5","0.7","0.1","0.0","20.1","364.3","5.7"
"Tennessee Titans","","2.1","0.7","0.6","0.8","0.1","0.0","23.4","339.4","5.7"
"Detroit Lions","","2.0","0.8","0.6","0.8","0.1","0.0","23.7","387.7","5.6"
"Arizona Cardinals","","2.2","0.7","0.6","0.7","0.1","0.1","27.0","345.0","5.6"
"Tampa Bay Buccaneers","","2.2","0.6","0.6","0.8","0.1","0.0","20.4","298.6","5.6"
"Atlanta Falcons","","1.6","0.8","0.5","0.7","0.1","0.2","21.4","392.8","5.4"
"Las Vegas Raiders","","1.8","0.7","0.6","0.8","0.1","0.0","25.2","400.6","5.2"
