"Player Name","Team","FG","FGA","XPT","fpts"
"Jason Myers","SEA","2.1","2.5","2.2","8.5"
"Robbie Gould","SF","1.7","1.9","2.9","7.9"
"Harrison Butker","KC","1.7","2.3","2.8","7.8"
"Mason Crosby","GB","1.6","1.9","2.7","7.6"
"Brett Maher","DAL","1.7","1.9","2.4","7.6"
"Evan McPherson","CIN","1.7","2.0","2.5","7.6"
"Tyler Bass","BUF","1.7","2.0","2.5","7.6"
"Chris Boswell","PIT","1.9","2.3","2.0","7.5"
"Ryan Succop","TB","1.7","2.0","2.2","7.4"
"Daniel Carlson","LV","1.7","2.0","2.2","7.4"
"Justin Tucker","BAL","1.8","2.1","1.8","7.3"
"Riley Patterson","JAC","1.7","2.0","2.3","7.3"
"Younghoe Koo","ATL","1.7","2.0","2.2","7.3"
"Greg Joseph","MIN","1.7","1.9","2.2","7.3"
"Jake Elliott","PHI","1.6","1.7","2.5","7.3"
"Brandon McManus","DEN","1.8","2.1","1.9","7.2"
"Chase McLaughlin","IND","1.8","2.1","1.9","7.2"
"Eddy Pineiro","CAR","1.8","2.0","1.9","7.2"
"Michael Badgley","DET","1.6","1.8","2.3","7.1"
"Cameron Dicker","LAC","1.7","1.9","1.9","6.9"
"Randy Bullock","TEN","1.7","1.8","1.8","6.7"
"Greg Zuerlein","NYJ","1.7","2.0","1.7","6.7"
"Nick Folk","NE","1.7","1.9","1.7","6.7"
"Cade York","CLE","1.6","1.9","1.7","6.6"
"Matt Gay","LAR","1.7","1.9","1.6","6.6"
"Joey Slye","WAS","1.6","1.9","1.7","6.6"
"Wil Lutz","NO","1.4","1.4","2.4","6.6"
"Graham Gano","NYG","1.7","1.9","1.5","6.5"
"Ka'imi Fairbairn","HOU","1.3","1.4","2.2","6.2"
"Jason Sanders","MIA","1.3","1.4","2.1","6.2"
"Cairo Santos","CHI","1.3","1.4","2.1","6.1"
"Matt Prater","ARI","1.2","1.2","1.3","5.1"
