"Player Name","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","fpts"
"Jalen Hurts","PHI","30.4","19.8","238.8","1.6","0.5","10.1","53.4","0.8","0.2","25.5"
"Patrick Mahomes II","KC","38.0","25.6","311.1","2.4","0.7","3.1","17.3","0.2","0.2","23.7"
"Josh Allen","BUF","32.1","21.0","245.7","1.9","0.8","7.8","44.9","0.5","0.2","23.6"
"Joe Burrow","CIN","35.1","23.6","277.4","2.0","0.9","3.6","15.1","0.2","0.2","20.4"
"Trevor Lawrence","JAC","34.4","21.6","256.0","1.7","0.8","4.0","17.8","0.2","0.2","18.7"
"Geno Smith","SEA","34.4","23.0","258.1","1.8","0.8","3.7","15.9","0.1","0.2","18.5"
"Kirk Cousins","MIN","35.3","22.9","272.2","1.9","0.8","1.3","5.0","0.1","0.2","18.4"
"Aaron Rodgers","GB","33.8","22.5","258.6","1.9","0.6","2.2","7.9","0.1","0.2","18.3"
"Dak Prescott","DAL","31.5","20.7","242.8","1.8","0.8","3.7","15.7","0.1","0.2","17.8"
"Justin Herbert","LAC","36.7","24.4","268.1","1.6","0.8","3.1","11.4","0.1","0.2","17.7"
"Deshaun Watson","CLE","29.3","18.4","218.5","1.5","0.8","6.2","27.8","0.1","0.2","17.3"
"Jarrett Stidham","LV","34.5","21.8","244.8","1.7","1.1","3.3","13.6","0.1","0.2","16.8"
"Tom Brady","TB","34.8","23.1","263.0","1.7","0.7","0.8","1.2","0.0","0.1","16.6"
"Brock Purdy","SF","29.5","18.9","225.1","1.7","0.8","1.9","8.7","0.1","0.1","16.6"
"Jared Goff","DET","34.8","21.9","254.4","1.5","0.8","1.1","3.4","0.1","0.2","15.6"
"Russell Wilson","DEN","32.7","19.9","224.0","1.2","0.8","5.0","21.4","0.1","0.2","15.5"
"Skylar Thompson","MIA","32.3","20.4","210.7","1.2","0.9","2.8","14.2","0.1","0.2","14.1"
"Andy Dalton","NO","28.5","18.1","220.6","1.4","0.7","1.4","4.7","0.1","0.1","14.1"
"Sam Darnold","CAR","29.5","18.3","208.2","1.0","0.6","3.3","15.0","0.1","0.2","13.9"
"Sam Ehlinger","IND","29.6","18.9","197.3","1.0","0.8","3.9","21.8","0.1","0.2","13.8"
"Kenny Pickett","PIT","29.3","18.5","197.1","1.0","0.9","3.4","18.0","0.2","0.1","13.6"
"Teddy Bridgewater","MIA","31.0","21.0","242.0","1.0","1.0","2.0","7.0","0.0","0.0","13.4"
"Joshua Dobbs","TEN","30.5","18.0","206.1","0.9","0.9","4.2","19.0","0.1","0.2","13.2"
"Mac Jones","NE","32.7","20.7","222.0","1.0","0.9","1.9","7.6","0.1","0.2","12.8"
"Baker Mayfield","LAR","31.2","18.7","205.6","1.1","0.8","2.4","8.6","0.1","0.2","12.6"
"Sam Howell","WAS","28.8","17.1","196.1","1.0","1.0","3.5","14.3","0.1","0.2","12.5"
"Davis Mills","HOU","26.9","16.7","198.7","1.0","0.8","2.2","10.5","0.1","0.2","12.4"
"David Blough","ARI","34.3","21.7","227.7","0.8","1.1","2.1","8.5","0.1","0.2","12.1"
"Nathan Peterman","CHI","27.4","16.8","182.6","1.0","1.1","2.3","13.2","0.1","0.2","11.9"
"Desmond Ridder","ATL","24.2","15.4","177.8","0.8","0.5","3.1","16.6","0.1","0.2","11.7"
"Daniel Jones","NYG","8.7","5.7","134.0","0.7","0.4","2.1","27.7","0.2","0.1","11.5"
"Tyler Huntley","BAL","26.0","16.3","141.4","0.7","0.7","6.9","22.9","0.1","0.2","10.3"
"Tyrod Taylor","NYG","25.4","15.6","135.3","0.6","0.6","4.5","11.9","0.1","0.2","8.6"
"Jeff Driskel","HOU","3.8","2.4","33.1","0.1","0.1","3.2","16.1","0.1","0.1","3.6"
"Blaine Gabbert","TB","9.6","5.7","38.1","0.2","0.2","0.6","1.2","0.0","0.0","2.3"
"Jameis Winston","NO","0.0","0.0","23.3","0.1","0.1","0.0","0.0","0.0","0.0","1.4"
"Taylor Heinicke","WAS","8.0","5.0","35.8","0.0","0.5","1.0","2.7","0.0","0.0","1.3"
"Matt Ryan","IND","0.0","0.0","22.1","0.1","0.1","0.0","0.1","0.0","0.0","1.2"
"Bailey Zappe","NE","0.0","0.0","22.2","0.1","0.1","0.0","0.0","0.0","0.0","1.2"
"Jacoby Brissett","CLE","0.0","0.0","22.3","0.1","0.1","0.0","0.1","0.0","0.0","1.1"
"John Wolford","LAR","0.0","0.0","20.8","0.1","0.1","0.0","0.0","0.0","0.0","1.0"
"Mitch Trubisky","PIT","0.0","0.0","14.0","0.1","0.1","0.0","0.1","0.0","0.0","0.9"
"C.J. Beathard","JAC","0.0","0.0","14.5","0.1","0.1","0.0","0.1","0.0","0.0","0.9"
"Carson Wentz","WAS","0.0","0.0","15.9","0.1","0.1","0.0","0.0","0.0","0.0","0.9"
"PJ Walker","CAR","0.0","0.0","13.4","0.1","0.1","0.0","0.4","0.0","0.0","0.8"
"Chris Streveler","NYJ","0.0","0.0","13.1","0.0","0.1","0.0","0.8","0.0","0.0","0.8"
"Joe Flacco","NYJ","0.0","0.0","13.6","0.1","0.1","0.0","0.0","0.0","0.0","0.7"
"Josh Johnson","SF","0.0","0.0","11.7","0.1","0.1","0.0","0.0","0.0","0.0","0.6"
"Jordan Love","GB","0.0","0.0","10.5","0.0","0.1","0.0","0.0","0.0","0.0","0.6"
