"Player Name","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","fpts"
"Christian McCaffrey","SF","20.1","85.3","0.8","4.3","36.6","0.2","0.1","20.1"
"Derrick Henry","TEN","21.4","89.9","0.7","2.9","24.0","0.1","0.1","17.3"
"Austin Ekeler","LAC","13.0","58.6","0.6","4.8","35.4","0.1","0.1","16.2"
"Dalvin Cook","MIN","18.1","83.5","0.7","2.5","20.2","0.1","0.1","16.1"
"Josh Jacobs","LV","17.3","79.3","0.7","2.7","19.3","0.1","0.1","15.4"
"Aaron Jones","GB","13.4","64.7","0.5","3.2","26.1","0.2","0.1","14.7"
"Joe Mixon","CIN","15.3","58.6","0.6","3.7","27.8","0.1","0.1","14.6"
"Cam Akers","LAR","18.2","78.0","0.7","2.1","15.4","0.1","0.1","14.4"
"Alvin Kamara","NO","15.5","61.6","0.5","2.9","25.3","0.1","0.1","13.7"
"Kenneth Walker III","SEA","18.4","74.6","0.7","1.8","13.3","0.0","0.0","13.7"
"Najee Harris","PIT","17.3","71.9","0.6","2.2","14.3","0.1","0.1","13.7"
"Nick Chubb","CLE","16.5","76.0","0.6","1.3","11.8","0.0","0.1","12.9"
"Miles Sanders","PHI","15.0","72.5","0.7","1.1","8.1","0.0","0.1","12.9"
"Tyler Allgeier","ATL","17.4","69.7","0.6","1.5","11.2","0.0","0.0","12.7"
"David Montgomery","CHI","13.8","54.4","0.5","2.7","22.2","0.1","0.1","12.5"
"Rhamondre Stevenson","NE","12.1","53.6","0.5","3.2","22.6","0.1","0.1","12.4"
"Tony Pollard","DAL","11.1","51.2","0.5","2.6","22.2","0.1","0.0","12.2"
"Leonard Fournette","TB","11.1","45.3","0.4","3.4","25.8","0.1","0.0","11.9"
"Travis Etienne Jr.","JAC","16.2","66.6","0.4","2.2","17.3","0.1","0.2","11.8"
"Zack Moss","IND","16.8","72.3","0.6","0.9","7.6","0.0","0.1","11.8"
"Isiah Pacheco","KC","14.7","60.9","0.6","1.5","12.2","0.0","0.1","11.6"
"Jerick McKinnon","KC","5.3","22.3","0.1","4.4","38.5","0.4","0.0","11.6"
"Ezekiel Elliott","DAL","15.3","57.4","0.7","1.5","9.7","0.0","0.1","11.5"
"D'Andre Swift","DET","8.0","41.1","0.2","3.4","29.3","0.1","0.1","10.8"
"J.K. Dobbins","BAL","14.4","63.5","0.5","0.7","4.6","0.0","0.0","10.5"
"Raheem Mostert","MIA","11.3","49.0","0.5","2.0","14.6","0.1","0.1","10.4"
"Latavius Murray","DEN","12.7","59.7","0.3","2.0","12.6","0.1","0.0","10.1"
