"Player Name","Team","REC","YDS","TDS","FL","fpts"
"Travis Kelce","KC","6.4","77.2","0.7","0.0","15.1"
"T.J. Hockenson","MIN","5.3","57.7","0.5","0.0","11.6"
"Mark Andrews","BAL","5.0","58.2","0.5","0.0","11.2"
"George Kittle","SF","4.3","53.9","0.6","0.0","11.0"
"Evan Engram","JAC","4.9","54.8","0.5","0.0","10.9"
"Taysom Hill","NO","1.3","14.2","0.4","0.0","10.8"
"Darren Waller","LV","4.2","49.9","0.5","0.0","10.2"
"Tyler Higbee","LAR","4.7","46.7","0.5","0.0","9.9"
"Dalton Schultz","DAL","4.0","43.0","0.5","0.0","9.4"
"Pat Freiermuth","PIT","3.9","42.4","0.5","0.0","8.9"
"Dawson Knox","BUF","3.5","41.0","0.5","0.0","8.8"
"Dallas Goedert","PHI","4.2","50.3","0.2","0.0","8.4"
"David Njoku","CLE","3.5","41.7","0.2","0.0","7.1"
"Juwan Johnson","NO","3.1","37.1","0.3","0.0","6.9"
"Cole Kmet","CHI","3.4","37.6","0.2","0.0","6.5"
"Tyler Conklin","NYJ","3.5","36.1","0.1","0.0","6.1"
"Trey McBride","ARI","3.4","36.4","0.1","0.0","5.9"
"Gerald Everett","LAC","3.1","33.1","0.1","0.0","5.6"
"Hunter Henry","NE","2.9","32.7","0.1","0.0","5.5"
"Noah Fant","SEA","2.7","31.0","0.2","0.0","5.3"
"Cade Otton","TB","2.7","29.7","0.2","0.0","5.3"
"Logan Thomas","WAS","2.8","30.1","0.2","0.0","5.3"
"Hayden Hurst","CIN","2.9","27.7","0.2","0.0","5.1"
"Colby Parkinson","SEA","2.3","24.7","0.2","0.0","4.7"
"Jelani Woods","IND","2.2","27.7","0.1","0.0","4.7"
"Jordan Akins","HOU","2.5","27.2","0.1","0.0","4.7"
"Albert Okwuegbunam","DEN","2.6","27.2","0.1","0.0","4.7"
"Robert Tonyan","GB","2.5","25.1","0.1","0.0","4.6"
"Austin Hooper","TEN","2.3","25.2","0.1","0.0","4.3"
"Chigoziem Okonkwo","TEN","2.1","24.9","0.1","0.0","4.2"
"MyCole Pruitt","ATL","1.7","19.0","0.1","0.0","3.4"
"Foster Moreau","LV","1.6","19.0","0.1","0.0","3.4"
"Daniel Bellinger","NYG","1.9","19.3","0.1","0.0","3.3"
"Tommy Tremble","CAR","1.8","17.2","0.1","0.0","3.2"
"Isaiah Likely","BAL","1.7","18.2","0.1","0.0","3.2"
"Shane Zylstra","DET","1.5","13.9","0.2","0.0","3.2"
"Mike Gesicki","MIA","1.5","17.4","0.1","0.0","3.2"
"C.J. Uzomah","NYJ","1.6","17.1","0.1","0.0","3.0"
"Jonnu Smith","NE","1.7","16.9","0.1","0.0","3.0"
"Kylen Granson","IND","1.5","16.0","0.1","0.0","2.9"
"Lawrence Cager","NYG","1.5","16.6","0.1","0.0","2.8"
"Brycen Hopkins","LAR","1.4","14.9","0.1","0.0","2.8"
"Teagan Quitoriano","HOU","1.3","14.0","0.1","0.0","2.7"
"Harrison Bryant","CLE","1.5","14.1","0.1","0.0","2.7"
"Brock Wright","DET","1.3","15.2","0.1","0.0","2.7"
"Donald Parham Jr.","LAC","1.4","13.6","0.1","0.0","2.5"
"Noah Gray","KC","1.3","13.0","0.1","0.0","2.4"
"Eric Saubert","DEN","1.4","12.8","0.1","0.0","2.3"
"Josh Oliver","BAL","1.2","12.0","0.1","0.0","2.3"
"Adam Trautman","NO","1.1","11.4","0.1","0.0","2.3"
"Ian Thomas","CAR","1.3","13.0","0.1","0.0","2.3"
"Brevin Jordan","HOU","1.1","13.3","0.1","0.0","2.3"
"Anthony Firkser","ATL","1.1","10.8","0.1","0.0","2.1"
"Mo Alie-Cox","IND","1.0","12.3","0.1","0.0","2.1"
"Ryan Griffin","CHI","1.0","10.3","0.1","0.0","1.9"
"Nick Vannett","NYG","1.0","11.1","0.1","0.0","1.9"
"Cameron Brate","TB","1.0","9.5","0.1","0.0","1.9"
"Eric Tomlinson","DEN","0.9","9.1","0.1","0.0","1.8"
"O.J. Howard","HOU","0.7","8.7","0.1","0.0","1.7"
"Ko Kieft","TB","0.8","9.1","0.1","0.0","1.7"
"Jake Ferguson","DAL","0.7","8.6","0.1","0.0","1.6"
"Durham Smythe","MIA","0.9","6.1","0.1","0.0","1.6"
"Zach Gentry","PIT","0.9","7.7","0.1","0.0","1.6"
"James Mitchell","DET","0.8","8.3","0.1","0.0","1.6"
"Josiah Deguara","GB","0.7","7.9","0.1","0.0","1.5"
"Chris Myarick","NYG","0.7","6.9","0.1","0.0","1.5"
"Mitchell Wilcox","CIN","0.8","7.2","0.1","0.0","1.5"
"Johnny Mundt","MIN","0.7","5.8","0.1","0.0","1.4"
"Marcedes Lewis","GB","0.5","5.5","0.1","0.0","1.3"
"Stephen Sullivan","CAR","0.7","7.3","0.0","0.0","1.3"
"Quintin Morris","BUF","0.6","6.2","0.1","0.0","1.3"
"Parker Hesse","ATL","0.6","6.0","0.0","0.0","1.1"
"John Bates","WAS","0.6","5.6","0.0","0.0","1.1"
"Maxx Williams","ARI","0.6","5.6","0.0","0.0","1.0"
"Geoff Swaim","TEN","0.6","5.5","0.0","0.0","1.0"
"Dan Arnold","JAC","0.5","5.4","0.0","0.0","1.0"
