"Player Name","Team","passing_attempts","passing_completions","passing_yards","passing_td","passing_int","rushing_attempts","rushing_yards","rushing_td","fumble_lost","fpts"
"Patrick Mahomes II","KC","609.6","405.5","4,832.1","37.7","11.2","64.9","356.8","3.2","1.9","383.8"
"Josh Allen","BUF","575.6","362.9","4,275.1","32.0","14.2","117.0","661.4","6.2","4.2","380.2"
"Jalen Hurts","PHI","494.6","318.5","3,827.7","23.8","10.1","158.1","803.2","11.1","2.9","379.3"
"Joe Burrow","CIN","599.2","407.4","4,635.9","33.0","13.1","65.3","274.3","3.9","2.3","350.4"
"Lamar Jackson","BAL","472.0","299.5","3,430.1","25.4","11.5","148.5","939.4","5.5","2.7","348.5"
"Justin Fields","CHI","408.0","250.8","2,912.1","20.4","12.6","161.3","1,070.2","6.9","3.5","326.9"
"Justin Herbert","LAC","627.7","422.0","4,596.0","30.1","12.7","57.1","220.7","2.0","2.0","321.8"
"Deshaun Watson","CLE","508.0","326.7","3,872.9","24.6","11.3","96.1","481.8","4.2","1.8","312.0"
"Kirk Cousins","MIN","592.7","394.9","4,442.1","30.6","12.3","31.6","92.0","1.5","2.8","300.4"
"Dak Prescott","DAL","550.4","363.2","4,111.0","29.3","13.9","58.0","248.6","2.3","3.1","300.3"
"Trevor Lawrence","JAC","579.2","378.4","4,085.9","26.7","12.3","62.2","285.1","3.9","5.2","299.5"
"Daniel Jones","NYG","515.3","335.6","3,474.6","20.7","9.8","109.3","638.6","4.9","4.1","296.9"
"Geno Smith","SEA","542.5","369.3","4,032.6","27.1","11.3","62.4","323.9","2.0","3.5","295.7"
"Aaron Rodgers","NYJ","565.3","366.1","4,101.8","28.2","8.6","36.0","123.9","1.6","2.6","284.8"
"Russell Wilson","DEN","511.7","323.0","3,816.0","24.4","10.7","63.1","317.0","2.7","2.1","283.2"
"Jared Goff","DET","570.7","375.1","4,241.7","28.0","11.0","31.2","80.3","1.1","3.6","278.0"
"Tua Tagovailoa","MIA","523.8","342.3","4,037.1","26.9","12.1","41.9","130.3","1.6","1.8","276.0"
"Anthony Richardson","IND","484.1","298.0","3,155.2","17.5","13.2","128.5","568.0","4.1","2.5","259.0"
"Derek Carr","NO","511.0","335.3","3,936.3","23.7","11.8","34.9","117.7","0.9","2.6","252.6"
"Matthew Stafford","LAR","528.2","350.8","3,985.3","24.4","13.2","30.0","71.4","0.9","2.8","250.7"
"Kenny Pickett","PIT","503.8","318.0","3,318.6","17.5","12.5","66.8","420.6","3.6","1.5","250.6"
"Jordan Love","GB","544.1","344.0","3,811.6","23.2","14.8","43.1","166.6","1.5","2.6","250.4"
"Bryce Young","CAR","525.1","331.0","3,665.9","20.6","12.9","51.1","200.5","1.6","2.3","241.1"
"Brock Purdy","SF","428.6","280.3","3,345.8","23.2","9.5","36.6","107.7","2.0","1.4","236.8"
"Jimmy Garoppolo","LV","485.7","321.2","3,576.2","21.4","11.7","30.5","67.0","1.5","2.3","227.9"
"C.J. Stroud","HOU","519.8","326.3","3,460.3","19.7","14.2","50.4","177.8","1.5","2.5","224.4"
"Mac Jones","NE","492.3","321.9","3,436.3","19.1","13.2","50.6","148.9","1.2","2.1","218.5"
"Kyler Murray","ARI","434.4","286.3","2,799.1","14.5","9.7","79.6","424.7","3.0","1.9","216.9"
"Ryan Tannehill","TEN","444.3","289.1","3,217.8","18.4","10.6","40.3","158.5","2.2","2.1","216.2"
"Sam Howell","WAS","460.3","286.7","2,943.5","16.0","11.9","49.7","207.4","1.7","2.4","195.6"
"Desmond Ridder","ATL","439.3","270.7","2,923.1","16.5","10.4","39.8","172.4","1.4","3.0","192.1"
"Baker Mayfield","TB","457.3","280.8","2,989.4","15.9","11.4","33.8","121.3","1.1","2.1","186.4"
"Jacoby Brissett","WAS","206.8","120.7","1,322.8","5.5","4.3","24.5","95.3","0.8","1.8","81.3"
"Colt McCoy","ARI","173.6","112.4","1,232.1","4.9","4.8","18.3","61.2","0.5","1.1","71.0"
"Kyle Trask","TB","191.6","115.3","1,186.2","5.5","6.0","16.8","45.8","0.2","1.1","67.3"
"Will Levis","TEN","143.7","89.0","1,027.8","4.2","4.7","18.3","60.7","0.3","0.9","59.4"
"Trey Lance","SF","137.3","84.6","859.9","3.4","3.7","24.6","99.8","0.6","0.9","56.1"
"Gardner Minshew II","IND","99.0","62.4","826.6","3.3","2.7","15.2","51.9","0.2","1.6","46.7"
"Brian Hoyer","LV","97.9","59.4","747.2","4.0","4.0","10.4","32.8","0.2","0.8","45.2"
"Taylor Heinicke","ATL","99.2","60.7","713.8","3.9","4.0","18.1","51.4","0.2","1.2","43.8"
"Mike White","MIA","94.6","56.6","608.1","2.8","3.7","12.6","20.4","0.1","0.6","33.0"
"Sam Darnold","SF","119.1","69.0","579.6","2.3","3.6","15.0","42.4","0.1","1.0","31.3"
"Bailey Zappe","NE","100.2","61.0","598.9","2.4","3.6","12.0","22.4","0.1","1.1","30.8"
"Davis Mills","HOU","84.7","49.6","521.6","1.7","4.0","14.5","31.5","0.2","0.6","26.9"
"Clayton Tune","ARI","130.4","77.2","720.8","0.0","5.7","22.7","48.7","0.2","1.6","26.0"
"Nate Sudfeld","DET","0.0","0.0","383.8","1.7","1.9","0.0","26.5","0.5","0.5","24.9"
"Jameis Winston","NO","53.2","36.4","424.2","1.6","1.9","7.6","13.7","0.3","0.3","24.4"
"Tyrod Taylor","NYG","40.0","25.8","277.4","2.0","1.3","14.1","57.7","0.2","0.3","24.4"
"Brett Rypien","LAR","90.7","51.5","512.1","1.9","5.8","26.5","27.7","0.1","1.0","24.0"
"Marcus Mariota","PHI","53.3","33.5","322.6","1.6","1.2","15.0","48.1","0.3","0.4","23.7"
