"Player Name","Team","rushing_attempts","rushing_yards","rushing_td","receptions","receiving_yards","receiving_td","fumble_lost","fpts"
"Christian McCaffrey","SF","224.2","1,034.3","7.8","76.3","653.2","4.3","1.0","239.7"
"Austin Ekeler","LAC","190.8","866.4","9.3","80.2","618.1","4.1","1.9","224.9"
"Nick Chubb","CLE","277.2","1,391.7","9.3","27.0","228.1","1.1","1.9","220.6"
"Jonathan Taylor","IND","284.7","1,342.8","9.2","36.2","251.0","1.1","2.5","216.0"
"Derrick Henry","TEN","301.9","1,329.9","9.1","31.7","266.0","0.7","2.1","214.5"
"Josh Jacobs","LV","269.2","1,227.9","10.2","39.7","290.3","0.8","1.8","213.9"
"Bijan Robinson","ATL","239.5","1,153.0","8.7","38.7","329.7","2.1","2.2","208.6"
"Tony Pollard","DAL","211.1","1,079.3","7.9","46.8","391.8","2.4","0.8","206.9"
"Saquon Barkley","NYG","254.9","1,136.3","8.0","50.3","345.2","1.6","1.3","203.1"
"Joe Mixon","CIN","245.2","1,013.0","7.9","51.4","376.8","2.0","1.3","195.7"
"Breece Hall","NYJ","195.8","992.4","7.2","41.4","367.2","2.3","1.3","190.3"
"Aaron Jones","GB","204.1","1,001.6","5.9","51.2","381.6","2.8","1.3","187.8"
"Rhamondre Stevenson","NE","219.2","1,016.5","6.3","54.7","382.5","1.5","1.6","183.4"
"Najee Harris","PIT","266.0","1,043.0","6.9","39.8","271.4","2.3","1.6","183.3"
"Travis Etienne Jr.","JAC","224.3","1,111.3","6.6","37.7","299.0","1.1","2.5","181.9"
"Kenneth Walker III","SEA","229.5","1,049.3","8.4","26.5","174.8","0.6","0.7","174.9"
"Alexander Mattison","MIN","215.0","946.8","8.0","32.0","219.3","1.6","1.4","171.5"
"James Conner","ARI","214.3","914.1","7.0","41.2","302.7","1.3","1.4","168.7"
"Dameon Pierce","HOU","262.7","1,091.0","5.6","31.6","205.7","1.1","2.6","165.2"
"J.K. Dobbins","BAL","177.6","932.6","7.1","22.6","164.6","1.6","0.7","160.2"
"Miles Sanders","CAR","216.0","1,018.6","6.1","28.2","191.6","0.8","1.5","159.1"
"Jahmyr Gibbs","DET","178.9","781.8","6.4","41.6","331.2","1.9","1.7","157.6"
"Cam Akers","LAR","241.0","1,003.9","6.3","22.7","190.7","0.5","2.5","155.3"
"Rachaad White","TB","203.8","817.0","4.3","46.7","341.3","2.0","2.8","148.3"
"David Montgomery","DET","196.7","784.3","6.1","32.7","279.7","1.1","1.4","146.7"
"Isiah Pacheco","KC","196.1","878.7","6.6","21.6","184.2","0.6","1.8","145.7"
"Alvin Kamara","NO","176.5","757.2","3.9","45.9","378.7","1.8","1.2","145.4"
"Javonte Williams","DEN","167.7","795.8","4.1","35.9","247.8","1.7","1.7","135.5"
"D'Andre Swift","PHI","128.2","595.5","5.1","42.4","347.2","1.9","0.9","134.6"
"Brian Robinson Jr.","WAS","219.4","924.5","4.6","14.1","91.2","0.7","0.7","132.1"
"AJ Dillon","GB","168.1","733.9","5.8","24.3","195.1","0.7","1.0","130.1"
"James Cook","BUF","141.5","735.8","4.4","30.3","230.2","1.4","1.5","128.5"
"Antonio Gibson","WAS","154.0","608.6","3.9","42.3","314.0","1.6","1.5","122.0"
"Khalil Herbert","CHI","156.4","787.6","4.3","16.6","113.2","0.6","0.7","118.4"
"Samaje Perine","DEN","146.4","616.6","3.7","29.3","239.2","1.5","0.3","116.0"
"Rashaad Penny","PHI","159.7","763.5","5.1","9.0","59.4","0.2","1.0","112.3"
"Jeff Wilson Jr.","MIA","136.3","658.8","4.4","22.4","167.9","1.0","1.8","111.3"
"Jamaal Williams","NO","161.7","643.1","5.2","11.2","94.1","0.4","1.1","105.0"
"Raheem Mostert","MIA","139.3","634.7","3.4","26.0","177.8","0.9","1.3","104.7"
"Elijah Mitchell","SF","142.8","653.6","4.1","13.5","98.4","0.9","0.7","103.5"
"Damien Harris","BUF","142.2","626.3","4.6","16.2","112.8","0.3","1.1","100.8"
"Tyler Allgeier","ATL","148.6","700.7","3.2","11.9","92.0","0.5","0.7","100.2"
"De'Von Achane","MIA","129.0","542.8","3.1","27.1","226.6","1.0","1.4","98.9"
"D'Onta Foreman","CHI","143.8","714.5","3.4","5.9","47.6","0.2","1.0","95.6"
