"Player Name","Team","receptions","receiving_yards","receiving_td","fumble_lost","fpts"
"Travis Kelce","KC","103.7","1,232.5","9.8","0.6","180.9"
"Mark Andrews","BAL","75.0","886.4","6.3","0.4","127.2"
"T.J. Hockenson","MIN","82.6","830.7","5.9","0.5","117.3"
"George Kittle","SF","61.6","809.4","6.1","0.5","117.3"
"Dallas Goedert","PHI","64.8","768.2","4.4","0.6","102.3"
"Kyle Pitts","ATL","59.1","775.7","4.0","0.3","100.9"
"Darren Waller","NYG","62.2","743.2","4.1","0.6","98.2"
"Evan Engram","JAC","63.6","655.8","3.6","0.5","86.9"
"Pat Freiermuth","PIT","59.6","632.2","4.0","0.5","86.5"
"David Njoku","CLE","53.8","585.2","4.2","0.5","83.6"
"Chigoziem Okonkwo","TEN","46.2","572.7","3.7","0.0","82.7"
"Dalton Schultz","HOU","56.0","577.7","4.2","0.5","82.2"
"Greg Dulcich","DEN","46.6","576.3","3.8","0.0","80.3"
"Tyler Higbee","LAR","60.9","562.7","3.4","0.3","75.9"
"Cole Kmet","CHI","45.6","501.7","4.2","0.1","75.5"
"Gerald Everett","LAC","51.5","524.7","3.6","0.6","73.1"
"Juwan Johnson","NO","40.6","478.6","4.1","0.0","72.7"
"Dalton Kincaid","BUF","39.7","469.9","3.7","0.4","68.2"
"Irv Smith Jr.","CIN","44.9","426.3","4.1","0.0","67.3"
"Dawson Knox","BUF","37.6","426.1","3.7","0.2","64.7"
"Noah Fant","SEA","45.1","467.2","2.9","0.1","63.9"
"Hunter Henry","NE","39.1","470.9","2.8","0.1","63.7"
"Hayden Hurst","CAR","46.3","445.6","3.0","0.5","61.8"
"Jelani Woods","IND","35.1","429.3","2.8","0.0","60.0"
"Sam LaPorta","DET","38.0","418.7","3.1","0.4","59.8"
"Taysom Hill","NO","13.5","193.8","1.8","1.2","59.0"
"Mike Gesicki","NE","36.4","419.4","2.6","0.1","57.7"
"Zach Ertz","ARI","43.7","435.9","2.4","0.4","57.3"
"Cade Otton","TB","44.3","438.8","2.1","0.0","56.7"
"Tyler Conklin","NYJ","46.0","422.0","2.3","0.0","56.5"
"Logan Thomas","WAS","43.3","412.7","2.0","0.1","53.2"
"Trey McBride","ARI","37.1","397.7","2.2","0.4","52.1"
"Michael Mayer","LV","33.1","355.1","2.4","0.4","48.9"
"Luke Musgrave","GB","33.4","346.8","2.3","0.4","47.6"
"Austin Hooper","LV","31.8","332.5","1.9","0.0","44.5"
"Isaiah Likely","BAL","24.5","304.1","2.1","0.0","42.8"
"Jake Ferguson","DAL","28.2","289.3","2.1","0.0","41.6"
"Luke Schoonmaker","DAL","23.3","254.6","1.5","0.4","34.1"
"Robert Tonyan","CHI","21.0","237.6","1.6","0.0","33.6"
"Jordan Akins","CLE","20.1","240.3","1.3","0.2","31.5"
"Brock Wright","DET","18.2","188.8","2.1","0.0","31.4"
"Foster Moreau","NO","18.5","252.9","1.1","0.4","31.0"
"Jonnu Smith","ATL","20.1","225.0","1.2","0.0","30.7"
"Will Dissly","SEA","20.7","225.2","1.3","0.0","30.5"
"Donald Parham Jr.","LAC","17.8","214.0","1.5","0.0","30.5"
"Noah Gray","KC","20.2","224.4","1.0","0.0","29.4"
"C.J. Uzomah","NYJ","18.3","199.0","1.4","0.0","28.5"
"Durham Smythe","MIA","20.9","209.4","1.0","0.0","27.3"
"Albert Okwuegbunam","DEN","17.5","202.6","1.3","0.3","27.3"
"Kylen Granson","IND","18.8","207.9","0.9","0.0","26.3"
"Colby Parkinson","SEA","17.8","198.6","1.0","0.0","25.9"
"Brenton Strange","JAC","22.4","187.9","1.2","0.4","25.7"
"Tommy Tremble","CAR","16.5","158.2","1.6","0.5","24.9"
"Josiah Deguara","GB","18.9","181.0","1.0","0.0","24.0"
"Brevin Jordan","HOU","15.1","196.2","0.7","0.0","24.0"
"Darnell Washington","PIT","15.0","194.4","0.8","0.4","23.6"
"Harrison Bryant","CLE","16.4","176.4","0.9","0.2","22.5"
"Mo Alie-Cox","IND","13.0","171.8","1.0","0.5","22.5"
"Tucker Kraft","GB","14.0","168.3","0.9","0.4","21.8"
"Josh Oliver","MIN","15.7","151.0","1.1","0.0","21.6"
"Elijah Higgins","MIA","11.0","173.9","0.7","0.1","21.5"
"Dan Arnold","PHI","10.0","166.2","0.8","0.2","21.1"
"Peyton Hendershot","DAL","11.1","137.5","1.1","0.1","20.8"
"Daniel Bellinger","NYG","10.2","159.4","0.9","0.4","20.6"
"Brycen Hopkins","LAR","12.8","149.5","0.9","0.0","20.2"
"Charlie Kolar","BAL","13.6","149.2","0.8","0.0","20.0"
"Adam Trautman","DEN","11.4","166.0","0.6","0.2","19.7"
"Ian Thomas","CAR","16.5","147.8","0.7","0.0","19.0"
"Teagan Quitoriano","HOU","10.8","130.6","0.8","0.0","18.1"
"John Bates","WAS","14.2","136.0","0.7","0.0","17.6"
"Lawrence Cager","NYG","10.4","115.6","0.9","0.0","17.3"
"Davis Allen","LAR","17.4","124.0","0.9","0.4","17.3"
"Cameron Latu","SF","13.1","123.7","0.8","0.0","17.1"
"Brayden Willis","SF","10.0","109.0","1.0","0.0","16.9"
"Geoff Swaim","ARI","20.9","124.9","0.7","0.0","16.7"
"Blake Bell","KC","9.5","93.3","0.9","0.0","16.7"
"O.J. Howard","LV","6.2","113.0","0.9","0.1","16.4"
"Jimmy Graham","NO","10.0","101.8","1.0","0.0","16.1"
"Eric Saubert","MIA","13.2","113.8","0.7","0.0","15.9"
"Payne Durham","TB","13.7","119.6","0.6","0.4","15.5"
"Andrew Ogletree","IND","10.0","88.0","1.0","0.0","14.8"
"Josh Whyle","TEN","8.3","102.3","0.7","0.0","14.4"
"Jody Fortson","KC","10.4","114.6","0.6","0.4","14.2"
"James Mitchell","DET","7.5","104.8","0.6","0.0","14.0"
"Tyler Kroft","MIA","8.0","101.9","0.6","0.0","13.6"
"Tre' McKitty","LAC","9.3","101.4","0.5","0.0","13.4"
"Zack Kuntz","NYJ","7.0","103.4","0.5","0.0","13.4"
"Jack Stoll","PHI","10.4","106.3","0.4","0.0","13.2"
"Connor Heyward","PIT","6.4","83.9","0.6","0.0","12.9"
"Andrew Beck","HOU","8.0","95.3","0.3","0.0","12.9"
"Stephen Sullivan","CAR","8.8","94.2","0.5","0.0","12.6"
"Jeremy Ruckert","NYJ","6.2","95.6","0.5","0.0","12.6"
"Ross Dwelley","SF","3.6","88.5","0.6","0.0","12.4"
"Zach Gentry","PIT","10.5","91.9","0.5","0.0","12.4"
"Shane Zylstra","DET","7.2","76.4","0.8","0.0","12.2"
"Cole Turner","WAS","3.8","102.7","0.3","0.1","12.2"
"Stone Smartt","LAC","8.7","78.0","0.7","0.0","12.0"
"Armani Rogers","WAS","11.0","91.3","0.5","0.1","12.0"
"Hunter Long","LAR","5.4","87.0","0.5","0.1","11.4"
"Drew Sample","CIN","10.0","83.2","0.5","0.1","11.2"
"Will Mallory","IND","5.1","80.1","0.5","0.0","10.8"
"Reggie Gilliam","BUF","8.2","63.5","0.6","0.0","10.5"
"Giovanni Ricci","CAR","1.9","81.5","0.4","0.1","10.5"
"Ko Kieft","TB","7.8","65.3","0.6","0.0","10.4"
"Quintin Morris","BUF","5.1","76.7","0.4","0.1","10.1"
"Johnny Mundt","MIN","6.1","76.1","0.3","0.0","9.6"
"Chris Manhertz","DEN","5.3","70.3","0.4","0.0","9.5"
"Jesper Horsted","LV","5.3","68.2","0.5","0.0","9.5"
"Curtis Hodges","WAS","6.2","58.9","0.6","0.0","9.5"
"Grant Calcaterra","PHI","3.0","75.1","0.3","0.1","9.1"
"Devin Asiasi","CIN","6.2","61.2","0.5","0.0","9.1"
"Trevon Wesco","TEN","6.3","54.2","0.5","0.0","8.3"
"Luke Farrell","JAC","5.9","55.9","0.4","0.0","8.0"
"Mitchell Wilcox","CIN","0.0","77.2","0.0","0.0","7.7"
"Kendall Blanton","KC","0.0","57.1","0.3","0.0","7.5"
"Chris Myarick","NYG","3.7","62.2","0.2","0.1","7.5"
"Tommy Sweeney","NYG","3.7","62.2","0.2","0.1","7.5"
"Tanner Hudson","CIN","4.4","60.0","0.2","0.0","7.4"
"Parker Hesse","ATL","5.4","56.1","0.3","0.0","7.1"
"Joel Honigford","ARI","4.8","44.9","0.4","0.0","6.8"
"Tanner Conner","MIA","3.9","37.8","0.3","0.0","5.5"
"Tyler Mabry","SEA","3.3","36.6","0.3","0.0","5.5"
"MyCole Pruitt","ATL","0.0","30.6","0.4","0.0","5.5"
"Dominique Dafney","TB","3.7","38.3","0.3","0.0","5.4"
"Charlie Woerner","SF","3.4","32.3","0.3","0.0","5.1"
"Anthony Firkser","NE","3.9","36.5","0.2","0.0","5.0"
"Eric Tomlinson","HOU","3.6","35.3","0.2","0.0","5.0"
"Mason Schreck","HOU","3.6","35.0","0.2","0.0","4.9"
"Lucas Krull","NO","3.2","27.7","0.3","0.0","4.4"
"Pharaoh Brown","IND","1.8","40.3","0.1","0.1","4.3"
"Sean McKeon","DAL","2.4","24.5","0.3","0.0","4.3"
"Tyler Davis","GB","2.5","25.0","0.3","0.0","4.3"
"Feleipe Franks","ATL","3.1","29.4","0.2","0.0","4.3"
"Noah Togiai","ARI","2.7","28.6","0.2","0.0","4.3"
"David Wells","TB","2.1","19.5","0.3","0.0","4.1"
"Jake Tonges","CHI","2.2","24.6","0.3","0.0","4.0"
"Kaden Smith","IND","3.2","28.3","0.2","0.0","3.9"
"Kevin Rader","TEN","0.8","21.6","0.3","0.0","3.8"
"Matt Sokol","NE","1.2","11.5","0.3","0.0","2.9"
"Jacob Harris","JAC","0.0","14.0","0.2","0.0","2.6"
"Kenny Yeboah","NYJ","0.0","14.0","0.2","0.0","2.6"
"Sammis Reyes","JAC","1.4","10.4","0.1","0.0","1.7"
"Seth Green","DAL","1.4","10.1","0.1","0.0","1.7"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","0.8"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.2"
