"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Justin Jefferson","MIN","110.5","1,532.2","8.2","3.7","18.0","0.3","0.4","205.1"
"Ja'Marr Chase","CIN","107.4","1,379.0","10.2","5.2","24.6","0.1","1.1","200.1"
"Tyreek Hill","MIA","106.0","1,410.1","7.8","9.5","60.1","0.6","0.5","196.2"
"Cooper Kupp","LAR","101.5","1,308.2","8.8","7.1","71.8","0.9","0.6","194.3"
"CeeDee Lamb","DAL","97.4","1,272.4","8.0","8.5","55.1","0.3","0.5","181.4"
"Davante Adams","LV","95.3","1,245.3","9.0","1.8","6.7","0.1","0.5","178.7"
"Stefon Diggs","BUF","95.0","1,267.3","8.2","0.8","4.0","0.0","0.6","175.5"
"A.J. Brown","PHI","79.2","1,209.9","8.7","0.4","4.6","0.0","0.6","172.6"
"Jaylen Waddle","MIA","79.8","1,185.3","6.5","3.6","35.2","0.2","0.6","161.2"
"Amon-Ra St. Brown","DET","101.1","1,146.6","5.8","7.8","62.4","0.4","0.4","157.7"
"Deebo Samuel","SF","70.1","894.0","3.8","43.0","258.8","2.5","1.5","149.9"
"Garrett Wilson","NYJ","84.4","1,140.8","6.0","1.9","3.2","0.0","0.7","148.8"
"Amari Cooper","CLE","75.2","1,062.3","7.1","0.7","1.9","0.0","0.3","148.3"
"Tee Higgins","CIN","80.7","1,092.6","6.5","0.7","2.9","0.0","0.5","147.8"
"Chris Olave","NO","82.1","1,146.6","5.6","0.0","0.2","0.0","1.4","145.6"
"Christian Watson","GB","69.5","955.0","6.1","7.4","66.6","1.0","0.3","143.9"
"DeVonta Smith","PHI","83.9","1,057.0","6.2","0.0","0.2","0.0","0.6","141.9"
"DK Metcalf","SEA","81.4","1,003.7","7.1","0.2","1.3","0.0","0.8","141.3"
"Jerry Jeudy","DEN","72.8","1,038.0","5.6","1.5","15.3","0.0","0.3","138.3"
"Terry McLaurin","WAS","73.0","1,040.2","5.3","3.1","19.4","0.0","0.4","137.3"
"Calvin Ridley","JAC","77.1","993.7","6.2","1.7","4.2","0.0","0.5","136.0"
"Mike Williams","LAC","71.1","996.3","6.0","1.2","5.3","0.0","0.3","135.5"
"Keenan Allen","LAC","90.0","1,009.2","5.5","1.6","8.9","0.0","0.6","134.0"
"Mike Evans","TB","71.0","982.6","5.9","0.1","8.0","0.0","0.3","133.6"
"Christian Kirk","JAC","76.0","944.8","6.0","3.3","19.9","0.1","0.4","132.0"
"DJ Moore","CHI","65.7","918.5","6.1","5.1","32.8","0.0","0.5","131.0"
"DeAndre Hopkins","TEN","75.8","983.8","5.6","0.2","1.5","0.0","0.7","130.6"
"Drake London","ATL","76.5","948.2","5.6","0.0","0.2","0.0","2.1","124.3"
"Chris Godwin","TB","92.6","980.9","4.4","2.3","11.3","0.1","1.0","124.3"
"Brandon Aiyuk","SF","63.7","898.9","5.3","2.8","18.7","0.2","0.5","123.4"
"Marquise Brown","ARI","78.5","899.3","5.0","1.7","9.9","0.0","0.4","120.3"
"Brandin Cooks","DAL","68.8","872.3","5.1","2.6","19.4","0.1","0.3","119.7"
"Jahan Dotson","WAS","57.7","819.3","6.1","3.1","10.3","0.1","0.3","119.6"
"Tyler Lockett","SEA","68.8","856.3","5.6","0.3","0.8","0.0","0.5","118.3"
"George Pickens","PIT","54.4","840.1","5.1","2.3","15.9","0.4","0.3","117.7"
"Michael Pittman Jr.","IND","77.2","884.3","4.3","1.9","19.6","0.0","0.5","115.5"
"Diontae Johnson","PIT","79.3","887.9","4.2","4.7","24.8","0.0","0.7","115.1"
"Gabe Davis","BUF","48.4","793.0","5.9","0.1","0.9","0.0","0.4","114.0"
"Kadarius Toney","KC","57.6","658.3","4.7","11.2","117.3","1.5","0.7","113.4"
"Jordan Addison","MIN","62.6","820.3","4.7","2.0","11.5","0.1","0.8","109.9"
"Treylon Burks","TEN","58.4","807.4","3.9","6.4","52.6","0.1","0.3","109.2"
"Jaxon Smith-Njigba","SEA","56.9","772.8","4.3","1.5","10.1","0.0","0.8","102.6"
"Michael Thomas","NO","64.9","759.8","4.4","0.4","1.4","0.0","0.3","101.9"
"JuJu Smith-Schuster","NE","68.8","775.4","4.1","0.2","1.2","0.1","0.7","101.5"
"Rashod Bateman","BAL","53.6","781.5","4.1","0.0","0.4","0.0","1.0","100.7"
"Courtland Sutton","DEN","57.7","781.5","3.6","0.6","3.3","0.0","0.3","99.6"
"Allen Lazard","NYJ","56.8","701.1","4.6","1.4","11.0","0.0","0.3","98.3"
"Jakobi Meyers","LV","61.1","743.2","3.9","0.9","2.0","0.0","1.0","95.8"
"Nico Collins","HOU","54.9","693.4","4.4","0.0","0.2","0.0","0.3","95.2"
"Tyler Boyd","CIN","57.9","718.4","3.8","1.9","10.6","0.0","0.5","95.0"
"Zay Flowers","BAL","48.6","697.3","3.9","1.8","14.9","0.1","0.5","94.1"
"Marquez Valdes-Scantling","KC","44.1","690.7","4.0","0.9","2.4","0.0","0.1","92.8"
"Adam Thielen","CAR","57.2","667.5","4.3","0.7","5.0","0.1","0.4","92.6"
"Quentin Johnston","LAC","47.6","683.4","3.6","3.4","17.5","0.1","0.8","90.4"
"DJ Chark Jr.","CAR","43.0","683.2","3.6","0.2","1.7","0.0","0.0","90.1"
"Darnell Mooney","CHI","51.3","663.8","3.8","1.9","9.0","0.1","0.3","90.1"
"Zay Jones","JAC","62.1","678.6","3.7","1.8","7.5","0.0","0.5","89.9"
"Rondale Moore","ARI","68.2","705.7","2.2","15.1","62.8","0.1","0.6","89.5"
"DeVante Parker","NE","44.6","667.5","3.6","0.0","0.2","0.0","0.0","88.6"
"Curtis Samuel","WAS","50.1","538.7","2.8","24.9","134.6","0.8","0.5","87.8"
"Romeo Doubs","GB","53.6","627.7","4.3","0.8","7.7","0.0","0.8","87.5"
"Donovan Peoples-Jones","CLE","46.7","691.0","3.2","0.5","0.6","0.0","0.6","86.9"
"Jameson Williams","DET","41.4","633.4","3.5","2.5","24.4","0.1","0.5","86.4"
"Rashid Shaheed","NO","39.8","611.9","2.5","3.4","47.7","0.9","0.3","86.1"
"Jonathan Mingo","CAR","44.8","644.3","3.2","1.6","15.8","0.1","0.5","84.7"
"Tim Patrick","DEN","43.2","613.9","3.8","0.0","0.4","0.0","0.0","84.5"
"Van Jefferson","LAR","42.2","599.1","3.9","0.9","6.1","0.0","0.0","84.1"
"K.J. Osborn","MIN","48.2","550.0","4.4","2.6","12.2","0.1","0.3","82.3"
"Michael Gallup","DAL","44.9","589.4","3.8","0.0","0.9","0.0","0.0","82.1"
"Hunter Renfrow","LV","61.3","603.9","3.7","0.6","4.7","0.0","0.6","82.0"
"Isaiah Hodgins","NYG","48.3","542.8","4.7","0.0","0.7","0.0","0.7","81.2"
"Elijah Moore","CLE","42.7","577.1","3.0","4.8","24.3","0.2","0.3","78.8"
"Odell Beckham Jr.","BAL","40.3","549.5","3.4","1.4","20.7","0.3","0.4","78.2"
"Skyy Moore","KC","44.6","574.1","3.3","6.0","35.7","0.2","2.9","76.5"
"Alec Pierce","IND","37.8","593.3","2.4","0.0","0.3","0.0","0.0","74.0"
"Jayden Reed","GB","45.1","564.4","2.7","1.2","12.4","0.1","0.2","73.6"
"Robert Woods","HOU","55.0","542.3","2.7","4.0","19.1","0.2","0.4","72.6"
"Tyquan Thornton","NE","38.8","491.7","3.0","2.9","10.2","0.6","0.0","71.8"
"John Metchie III","HOU","38.8","539.2","2.7","1.4","10.3","0.1","0.2","71.4"
"Corey Davis","NYJ","38.2","558.9","2.5","0.0","0.6","0.0","0.1","71.0"
"Darius Slayton","NYG","37.6","571.5","2.3","0.7","1.9","0.0","0.6","70.2"
"Russell Gage","TB","53.9","542.4","2.7","0.4","1.5","0.0","0.6","69.5"
"Chase Claypool","CHI","33.4","493.2","2.6","6.0","40.7","0.2","0.5","69.1"
"Wan'Dale Robinson","NYG","44.7","541.7","2.4","2.6","12.9","0.1","0.5","69.1"
"Khalil Shakir","BUF","38.0","532.2","2.4","1.2","7.3","0.1","0.1","68.2"
"Mecole Hardman Jr.","NYJ","35.5","430.7","2.4","7.9","61.8","0.9","0.8","67.2"
"Allen Robinson II","PIT","41.0","526.7","2.4","0.1","0.4","0.0","0.0","67.1"
"Mack Hollins","ATL","43.3","488.1","2.8","0.7","15.9","0.1","0.2","67.0"
"Greg Dortch","ARI","55.2","504.6","2.0","6.4","51.8","0.1","0.6","66.7"
"Marvin Jones Jr.","DET","37.0","479.8","3.0","0.1","0.6","0.0","0.0","66.1"
"Rashee Rice","KC","31.7","459.9","2.5","1.4","9.1","0.0","0.4","61.4"
"Isaiah McKenzie","IND","38.9","403.6","1.9","7.6","49.1","0.3","0.0","58.4"
"Josh Reynolds","DET","31.8","449.1","2.2","0.4","0.5","0.0","0.2","57.7"
"Joshua Palmer","LAC","36.8","459.1","2.0","0.6","2.3","0.0","0.3","57.7"
