Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Denver Broncos,DEN,45.5,16.8,12,14.4,3.9,0,0.9, ,"4,707.40",123
Carolina Panthers,CAR,42.8,16.6,12.6,15.8,3.4,0,0.5, ,"5,281.40",122.2
Arizona Cardinals,ARI,40.7,17.6,12.4,13.9,4,0,1, ,"5,381.80",120.9
Kansas City Chiefs,KC,41.8,17.9,10.3,9.9,3.3,0,0.7, ,"5,315.90",117.1
Seattle Seahawks,SEA,40.8,15.6,11.5,11.9,3.9,0,0.4, ,"4,724.40",113.5
Los Angeles Rams,LA,41.2,13.3,12.7,13.5,3.6,0,0.4, ,"5,689.60",113.4
Pittsburgh Steelers,PIT,40.1,14.2,12.1,13.5,3.3,0,0.2, ,"5,640.30",110.9
Green Bay Packers,GB,44.3,16.7,9.4,8.8,3.1,0,0.4, ,"5,655.40",110.4
Philadelphia Eagles,PHI,39.2,14.6,11.6,12.9,3.6,0,0.7, ,"5,770.80",109.9
Houston Texans,HOU,44,16.8,11.5,10.1,3.5,0,0.6, ,"5,130.80",109.7
New England Patriots,NE,43.7,14.8,11.2,11.4,2.6,0,0.5, ,"5,469.80",109.3
Tampa Bay Buccaneers,TB,38.4,13.4,11.5,13.1,3,0,0.4, ,"5,832.10",105.2
New York Jets,NYJ,40.2,14.8,11.1,10.7,2.5,0,0.4, ,"5,396.30",104.8
Minnesota Vikings,MIN,43.3,14.7,9.8,9.5,3.2,0,0.7, ,"5,613.80",104.8
Indianapolis Colts,IND,39.2,15.8,10.2,9.8,2.7,0,0.5, ,"5,657.00",103.6
Detroit Lions,DET,42.9,13.8,10.4,11.8,2.6,0,0.7, ,"5,639.90",102.8
Cincinnati Bengals,CIN,40,18.5,9.8,8.2,2.4,0,0.5, ,"5,472.90",102
New York Giants,NYG,34.9,15.1,10.6,13.2,2.6,0,0.5, ,"6,196.00",101.1
Jacksonville Jaguars,JAC,41.5,13,11.4,11.2,2.7,0,0.4, ,"5,575.30",100.5
Washington Redskins,WAS,36.4,12.4,11.6,15.8,2.6,0,0.3, ,"6,023.30",100.1
Oakland Raiders,OAK,37.3,15.3,10.9,10.5,2.4,0,0.7, ,"5,480.10",99.1
Tennessee Titans,TEN,38.7,12.3,8.4,7.1,2.4,0,0.2, ,"5,769.30",95.8
Buffalo Bills,BUF,37.1,16.7,9.7,8.2,2.6,0,0.5, ,"5,731.70",95.2
Cleveland Browns,CLE,32.4,14.1,9.4,10.2,2.6,0,0.2, ,"6,061.30",93.6
Miami Dolphins,MIA,37.8,13.9,8.8,7.9,2.7,0,0.5, ,"5,971.10",93.4
San Diego Chargers,SD,35,13.7,10.7,10.1,2.6,0,0.2, ,"5,907.70",92.8
New Orleans Saints,NO,33.9,11.9,11,12.3,1.9,0,0.3, ,"6,474.70",91.4
Atlanta Falcons,ATL,27.8,14.6,10.5,10.1,2.8,0,0.3, ,"5,938.30",88.9
Baltimore Ravens,BAL,41.2,12.5,10.4,8.5,2.3,0,0.4, ,"5,392.40",87.1
Chicago Bears,CHI,38.8,12.8,9.9,8.2,2.3,0,0.2, ,"5,823.60",83.8
San Francisco 49ers,SF,35.7,13.4,7.9,6,2.4,0,0.5, ,"6,195.10",81.5
Dallas Cowboys,DAL,32.6,13.4,9.1,7.3,2.2,0,0.3, ,"5,763.80",77.6
