Player Name,fpts,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,value
Jacksonville Jaguars,134.9,48.3,16.7,11.5,17.4,4.7,1,0,"4,630.00",$16.16
Baltimore Ravens,123,38.5,17.2,11.9,17.7,4.4,0,0,"4,848.00",$8.88
Philadelphia Eagles,120.7,37.6,16.1,12.5,18.9,4.3,0,0,"5,013.00",$7.47
Los Angeles Rams,120.5,44.4,15.1,10.7,16.2,3.7,1,0,"5,155.00",$7.35
Los Angeles Chargers,116.8,41.4,15.4,10.6,15.5,3.9,0,0,"5,182.00",$5.08
Carolina Panthers,116,45,13,12.2,18.7,3.4,0,0,"5,205.00",$4.59
Houston Texans,115,42.2,14.5,9.4,14,4.2,0,0,"4,918.00",$3.98
Minnesota Vikings,113.2,42.4,14.6,9.2,13.1,3.5,1,0,"4,628.00",$2.88
Denver Broncos,113,40.4,14.6,9.6,13.6,4,0,0,"4,222.00",$2.76
Pittsburgh Steelers,108.5,44.4,13.4,8.9,12.9,3.3,0,0,"5,146.00",$0.00
Kansas City Chiefs,108.4,32.2,15.3,11.1,16.5,3.9,0,0,"5,719.00",
New Orleans Saints,107.6,35.8,15.7,9,13.5,3.7,0,0,"5,441.00",
Green Bay Packers,105.4,43.1,12,9.9,15,2.7,1,0,"5,131.00",
Seattle Seahawks,104.2,35.9,12.5,10.9,16,3.6,0,0,"5,072.00",
Detroit Lions,103.5,34.1,13.5,10,15.1,3.8,0,0,"5,125.00",
New England Patriots,103.1,41.2,14,8.3,11.3,2.9,0,0,"5,514.00",
Washington Redskins,102.8,38.6,13.9,9,14.1,3.1,0,0,"5,189.00",
Arizona Cardinals,102.7,38,12.1,10.8,17.5,3.2,0,0,"4,961.00",
Tennessee Titans,101.2,38.8,13.4,9,13.8,2.9,0,0,"4,751.00",
Chicago Bears,101.1,41.1,10.6,10.9,16.5,2.8,0,0,"5,218.00",
Atlanta Falcons,99.6,35.2,11.2,11.2,18.1,3.3,0,0,"5,279.00",
Dallas Cowboys,98.6,35.5,11.7,11.5,18.6,2.8,0,0,"5,080.00",
Tampa Bay Buccaneers,97.1,27.3,13.1,11.9,18.2,3.3,0,0,"5,875.00",
Buffalo Bills,95,31.5,15.2,8.2,12.9,2.8,0,0,"4,945.00",
Cincinnati Bengals,90.7,36.5,13.3,6.2,9.6,2.5,0,0,"5,098.00",
Miami Dolphins,90.5,33.4,11.7,8.4,13.9,2.8,0,0,"4,993.00",
New York Giants,88.3,29.2,13,9.4,14.7,2.4,0,0,"5,670.00",
Oakland Raiders,87.4,30.4,10.9,10.4,16.6,2.4,0,0,"5,601.00",
San Francisco 49ers,85.5,29,11.8,9.2,13.7,2.4,0,0,"5,121.00",
Cleveland Browns,81.9,32.6,11.4,7.9,12.6,1.8,0,0,"5,050.00",
Indianapolis Colts,81.4,27.7,11.8,8.2,13.8,2.3,0,0,"5,596.00",
New York Jets,80.4,30.5,11.4,9,14.1,1.5,0,0,"5,325.00",
