Player Name,fpts
Stephen Gostkowski,168.5
Graham Gano,157.5
Blair Walsh,148
Josh Brown,146
Steven Hauschka,144
Robbie Gould,142
Justin Tucker,142
Chandler Catanzaro,141
Cairo Santos,140.5
Brandon McManus,136
Dan Bailey,129.5
Mike Nugent,126
Dustin Hopkins,123
Chris Boswell,123
Adam Vinatieri,121
Mason Crosby,120.5
Josh Lambo,119.5
Jason Myers,118
Matt Prater,116
Dan Carpenter,112.5
Travis Coons,110
Sebastian Janikowski,109
Phil Dawson,100.5
Connor Barth,99
Caleb Sturgis,93
Nick Novak,89.5
Greg Zuerlein,89.5
Randy Bullock,83.5
Ryan Succop,79
Andrew Franks,75.5
Matt Bryant,69.5
Kai Forbath,65.5
Nick Folk,62
Shayne Graham,47
Zach Hocker,41
Josh Scobee,23
Kyle Brindza,23
Cody Parkey,16
Rian Lindell,0
Billy Cundiff,0
Shaun Suisham,0
Garrett Hartley,0
Jake Rogers,0
John Potter*,0
Giorgio Tavecchio,0
Carson Wiggs,0
Derek Dimke,0
Eddy Carmona,0
Danny Hrapmann,0
Brandon Bogotay,0
