Player Name,fpts
Cam Newton,388
Tom Brady,342.5
Russell Wilson,335.3
Blake Bortles,314.6
Carson Palmer,308.2
Drew Brees,303.2
Aaron Rodgers,299.6
Kirk Cousins,292.2
Matthew Stafford,288.7
Eli Manning,286.3
Ryan Fitzpatrick,283.8
Philip Rivers,283.4
Jameis Winston,273.9
Alex Smith,270.4
Derek Carr,269.8
Tyrod Taylor,269.4
Ryan Tannehill,256.2
Andy Dalton,243
Matt Ryan,232.7
Ben Roethlisberger,227
Jay Cutler,225.9
Marcus Mariota,208.9
Teddy Bridgewater,199
Sam Bradford,194.3
Brian Hoyer,165.8
Joe Flacco,160.9
Josh McCown,131.6
Andrew Luck,130.4
Blaine Gabbert,129.1
Brock Osweiler,116.3
Colin Kaepernick,109.8
Nick Foles,95.4
Johnny Manziel,94.4
Ryan Mallett,70.3
Brandon Weeden,66.1
Matt Cassel,66
AJ McCarron,54.9
Case Keenum,43.1
Zach Mettenberger,41.6
Tony Romo,40.5
EJ Manuel,38.6
Kellen Moore,32.9
Jimmy Clausen,32.8
Mark Sanchez,32.6
Mike Vick,30.3
Matt Schaub,26.4
T.J. Yates,22.2
Landry Jones,21.3
Geno Smith,20
Austin Davis,19.1
