Player Name,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Cam Newton,CAR,501.8,299.9,"3,716.70",26.6,12,125.5,619.9,7.6,3.9,331.1
Aaron Rodgers,GB,563.4,356.1,"4,303.80",33.3,7,56.3,262,2.1,3.3,323.7
Russell Wilson,SEA,481.2,314.5,"3,823.60",27.7,10.6,108,581.2,3.4,3.5,314.3
Andrew Luck,IND,618.1,362.9,"4,352.10",32.5,16.8,63.5,278.4,2.2,3.5,304.5
Drew Brees,NO,640.6,429.1,"4,799.30",31.7,14.6,21.2,40.4,1,3.6,292.2
Ben Roethlisberger,PIT,583.1,382,"4,616.30",29.3,13.9,24.8,60,0.9,2.8,279.8
Carson Palmer,ARI,565.4,355,"4,428.90",29.9,13,21.8,50.8,0.8,3.4,274
Eli Manning,NYG,606.7,379.2,"4,388.10",29.9,14.6,19.5,55.2,0.4,3.2,267.7
Philip Rivers,SD,617.8,403.5,"4,507.70",29.2,15.1,21,44.2,0.2,3.3,266.2
Blake Bortles,JAC,559.5,328,"3,852.90",27.6,16.7,56.9,299.3,1.9,3.4,265.4
Andy Dalton,CIN,507.7,323.6,"3,826.80",26.6,12.6,58.5,187.1,2.3,3.3,260.1
Tyrod Taylor,BUF,461.5,286,"3,326.30",20.1,10.9,107.4,508.1,3.4,3,256.9
Ryan Tannehill,MIA,585,361.6,"4,085.80",24.9,13.6,41.5,193.5,1.1,3.3,255.5
Kirk Cousins,WAS,559.8,366.2,"4,123.80",26.1,14.4,29,82.2,2.1,3.6,254.3
Matthew Stafford,DET,585.9,379,"4,250.00",24.6,13.8,36.3,123,1.3,3.3,254.2
Derek Carr,OAK,589,357,"3,952.80",28.2,14.1,30.7,110.3,0.7,3.3,251
Tom Brady,NE,473.9,302.2,"3,586.50",28.1,6.4,24.8,45.4,1.3,2.3,250.8
Jameis Winston,TB,542.4,322.9,"3,901.20",23.6,16.9,52.8,201.4,3.3,3.2,250.5
Marcus Mariota,TEN,500.1,311.4,"3,572.20",22,15,66.4,384.5,3,3.6,250.2
Ryan Fitzpatrick,NYJ,549.8,328.4,"3,762.60",25.2,15.4,57.3,246.5,2.1,3.9,249.8
Matt Ryan,ATL,601.7,397.6,"4,469.20",24.8,15.7,30.1,80.1,0.4,3.9,249
Alex Smith,KC,480.9,307.5,"3,416.70",21.2,8.9,76.2,368.7,1.8,3.2,245
Joe Flacco,BAL,596.6,366.3,"4,085.70",24.6,15.5,25.6,58.4,1.5,3,239.5
Jay Cutler,CHI,527.8,333.5,"3,814.80",23.3,15.2,40.2,169.4,1.2,3.1,233.4
Brock Osweiler,HOU,541.2,327.9,"3,491.60",21.3,12.5,44.7,115.5,1,2.9,211.6
Robert Griffin,CLE,476,293.2,"3,122.70",16.4,12.5,62.4,279.5,1.7,3.3,197
Blaine Gabbert,SF,480.4,286.9,"3,229.90",16.2,13.9,56.7,259.1,1.7,4.3,193.8
Sam Bradford,MIN,474.7,294.4,"3,312.50",19.9,13,20.2,40.5,0.8,3,188.8
Tony Romo,DAL,306,200.5,"2,542.90",18.3,7.9,14,41.5,0.4,1.8,162.2
Shaun Hill,MIN,400.8,248.2,"2,399.70",13.3,10.2,20,45.8,0.4,2.6,130.6
Jared Goff,LA,329.5,198.5,"2,264.80",12,10.1,28.9,101.1,0.7,1.7,129.5
Trevor Siemian,DEN,327.3,197.2,"2,094.10",11.3,11.1,21.8,78.2,0.5,2.4,112.6
Dak Prescott,DAL,226.3,139.8,"1,625.00",10.2,6.7,30.1,138.7,1.2,2,109.9
Paxton Lynch,DEN,197,115.6,"1,312.40",7.6,6.9,21.1,79.5,0.4,1.6,76.5
Colin Kaepernick,SF,76.3,44.7,851,5,5.6,16.4,137.2,0.8,0.6,60.5
Case Keenum,LA,177.3,105.7,"1,150.70",5.6,5,11.8,37.6,0.3,2.6,58.7
Jimmy Garoppolo,NE,156.7,94.9,932.4,6.2,3.2,8.4,26.3,0.2,0.7,58.1
Josh McCown,CLE,69.4,43.1,851.4,6.3,3.6,6.5,46,0.1,0.6,56.2
Brandon Weeden,HOU,43.7,24.1,694.8,3.9,3,1.4,8,0,0.1,38.2
Ryan Mallett,BAL,26.9,15.1,626.9,2.6,1.6,0.8,16.4,0.3,0.1,35.3
Carson Wentz,PHI,87.6,51.6,559.1,3.3,2.7,9.5,37.2,0.4,0.7,34.7
Nick Foles,KC,23.3,14,599.9,3.2,1.9,1,7.3,0,0.1,33.4
Brian Hoyer,CHI,35.6,22.1,581.8,2.9,1.9,2.1,12.1,0.1,0.1,32.9
Mark Sanchez,DAL,54,31.8,335.4,2.2,1.8,3.2,15.6,0.2,0.1,21.2
Trevone Boykin,SEA,17.3,10.8,117,0.8,0.7,19.7,65.3,0.8,0.5,16.6
Landry Jones,PIT,34.8,19.6,277.5,1.9,1,1,2,0,0.1,16.6
AJ McCarron,CIN,29.7,17.7,269.7,1.4,0.9,1.9,7.9,0,0.1,15.4
Geno Smith,NYJ,30.2,19.3,203.6,1.6,1,4.7,23.3,0.1,0.1,15
Luke McCown,NO,17.7,9.7,222.4,1.4,0.8,0.2,2.1,0,0,13
Matt Flynn,FA,30.1,17.8,204.6,1.2,1.1,2.8,10.3,0.1,0,12.3
Christian Hackenberg,NYJ,34.1,17.8,199.6,1.2,1,2.4,9.8,0.1,0,12.1
Kellen Moore,DAL,1.3,0.7,232.8,1.8,2.3,0.1,0.5,0,0,11.9
E.J. Manuel,BUF,25.4,15.1,163.7,1,0.9,2.7,17.6,0.2,0.1,11.5
Chase Daniel,PHI,26.2,15.8,180.2,1.1,0.5,1.9,7.2,0,0.1,11.5
Matt Schaub,ATL,19.4,11.4,216.8,1,0.9,1,1.9,0,0.1,10.9
Zach Mettenberger,PIT,1.5,1.5,199,1,1.3,0.1,4.3,0,0,9.7
Bruce Gradkowski,PIT,21.3,13,152.7,1,0.3,0.8,2.7,0,0,9.7
Matt Cassel,TEN,25.5,15.2,168.2,0.9,0.8,0.6,3.8,0,0.1,9
Drew Stanton,ARI,26.2,14.7,152.3,1,0.9,1,5.3,0,0.1,8.9
Colt McCoy,WAS,21.7,13.8,145,0.7,0.4,1.9,8.2,0,0.1,8.9
Matt Barkley,ARI,0,0,123.7,1,0.3,0.1,1.7,0,0,8.4
Derek Anderson,CAR,18.3,10.3,117.2,0.8,0.4,0.6,2.8,0,0.1,7.2
Cody Kessler,CLE,15.7,10.6,118.3,0.6,0.6,3.1,9.2,0,0.1,6.9
Aaron Murray,KC,14,5,54,1,0,1,5,0,0,6.7
David Fales,CHI,27,10,108,1,1,1,3,0,0,6.6
Mike Glennon,TB,26.2,15.4,123.6,0.5,0.3,1.4,5,0,0.1,6.6
Chad Henne,JAC,23.5,13.1,96.2,0.6,0.3,1.4,5,0,0.1,6.1
Scott Tolzien,IND,29.1,16.5,101.3,0.6,0.3,0.6,1.9,0,0.1,6
Dan Orlovsky,DET,24.8,14.8,109.5,0.6,0.5,0.7,1.7,0,0.1,5.6
Matt McGloin,OAK,24.8,15.2,91.7,0.6,0.4,0.6,1.5,0,0.1,5.1
Kellen Clemens,SD,18.1,10.2,63.5,0.5,0.1,0.9,1.5,0,0.1,4.3
Ryan Nassib,NYG,15.6,9.1,53.7,0.5,0.2,0.4,0.3,0,0.1,3.5
Cardale Jones,BUF,3.8,2.5,24,0.1,0.1,4.7,15.5,0.1,0.1,2.9
Taylor Heinicke,MIN,2.4,1.6,15.8,0.1,0.1,4.4,13.4,0.1,0.1,2.6
Matt Moore,MIA,15.5,8.4,47.7,0.2,0.1,1,1.5,0,0.1,2.6
Brett Hundley,GB,23.5,12.7,47,0.2,0.1,0.5,1.4,0,0.1,2.4
Austin Davis,FA,2.5,1,29.5,0,0,0.5,2,0,0,1.4
Tom Savage,HOU,3.4,2.1,28.3,0.1,0.3,0.5,1.8,0,0.1,0.8
Jacoby Brissett,NE,2,1,20,0,0,0,0,0,0,0.8
Sean Mannion,LA,2.5,1.5,15,0,0,0,1,0,0,0.7
Bryce Petty,NYJ,0,0,1,0,0,1,4,0,0,0.4
Tyler Bray,KC,2,1,8,0,0,0,0,0,0,0.3
Sean Renfree,FA,0,0,0.5,0,0,0,0,0,0,0
Garrett Grayson,NO,0,0,0,0,0,0,0,0,0,0
Dylan Thompson,FA,0,0,0,0,0,0,0,0,0,0
Connor Cook,OAK,0,0,0,0,0,0,0,0,0,0
Jeff Driskel,SF,0,0,0,0,0,0,0,0,0,0
Josh Johnson,BAL,0,0,0,0,0,0,0,0,0,0
Brandon Doughty,MIA,0,0,0,0,0,0,0,0,0,0
Joe Webb,CAR,0,0,0,0,0,0,0,0,0,0
Kevin Hogan,KC,0,0,0,0,0,0,0,0,0,0
Dan LeFevour,FA,0,0,0,0,0,0,0,0,0,0
Nate Sudfeld,WAS,0,0,0,0,0,0,0,0,0,0
Christian Ponder,SF,0,0,0,0,0,0,0,0,0,0
Jake Rudock,DET,0,0,0,0,0,0,0,0,0,0
Jerrod Johnson,DAL,0,0,0,0,0,0,0,0,0,0
Alex Tanney,TEN,0,0,0,0,0,0,0,0,0,0
Matt Simms,ATL,0,0,0,0,0,0,0,0,0,0
Jimmy Clausen,FA,0,0,0,0,0,0,0,0,0,0
Brad Sorensen,MIN,0,0,0,0,0,0,0,0,0,0
Zac Dysert,MIA,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,HOU,0,0,0,0,0,0,0,0,0,0
Logan Thomas,NYG,0,0,0,0,0,0,0,0,0,0
Keith Wenning,CIN,0,0,0,0,0,0,0,0,0,0
Stephen Morris,IND,0,0,0,0,0,0,0,0,0,0
Matt Blanchard,FA,0,0,0,0,0,0,0,0,0,0
