Player Name,fpts
Devonta Freeman,243.4
Adrian Peterson,230.7
Doug Martin,199.3
DeAngelo Williams,191.4
Todd Gurley,187.4
Lamar Miller,184.9
David Johnson,179.8
Chris Ivory,172.7
Matt Forte,170.7
Latavius Murray,163.8
Danny Woodhead,163.1
Frank Gore,159.4
Darren McFadden,155.7
Jeremy Hill,155.3
Mark Ingram,153.4
Jonathan Stewart,146.8
LeSean McCoy,146.7
DeMarco Murray,140.4
Ronnie Hillman,137.4
Rashad Jennings,135.9
Giovani Bernard,132.2
Charles Sims,129
Jeremy Langford,125.6
James Starks,123.3
Eddie Lacy,120.6
T.J. Yeldon,119.9
Isaiah Crowell,118.8
Thomas Rawls,118.6
LeGarrette Blount,116.6
C.J. Anderson,116.3
Karlos Williams,113.3
Charcandrick West,112.8
Darren Sproles,106.5
Ryan Mathews,104.5
Duke Johnson Jr.,103.3
Chris Johnson,101.2
Javorius Allen,100.7
Shane Vereen,99.5
Theo Riddick,99
Alfred Blue,96.7
Matt Jones,95.4
Ameer Abdullah,92
Justin Forsett,91.4
Antonio Andrews,91
Bilal Powell,88.1
Le'Veon Bell,87.2
Alfred Morris,86.6
Dion Lewis,84.2
Joique Bell,83.7
James White,82.6
Jamaal Charles,--
Spencer Ware,--
Melvin Gordon,--
Tim Hightower,--
Carlos Hyde,--
Marshawn Lynch,--
Mike Tolbert,--
Joseph Randle,--
Jerick McKinnon,--
Dexter McCluster,0
Andre Ellington,--
Jonathan Grimes,--
Chris Thompson,--
Kyle Juszczyk,--
Chris Polk,--
Arian Foster,--
Khiry Robinson,--
Shaun Draughn,--
Brandon Bolden,--
Marcel Reece,--
C.J. Spiller,--
Denard Robinson,--
Fred Jackson,--
Mike Gillislee,--
Bishop Sankey,--
Tevin Coleman,--
Benjamin Cunningham,--
Donald Brown,--
Jay Ajayi,--
Andre Williams,--
Ka'Deem Carey,--
Tre Mason,--
Ahmad Bradshaw,--
Cameron Artis-Payne,--
Zach Line,--
Robert Turbin,--
Travaris Cadet,--
Lance Dunbar,--
De'Anthony Thomas,0
DuJuan Harris,--
Christine Michael,--
Jamize Olawale,--
Jonas Gray,--
Matt Asiata,--
Orleans Darkwa,--
Damien Williams,--
Fozzy Whittaker,--
Patrick DiMarco,--
Terron Ward,--
Taiwan Jones,0
