Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Adrian Peterson,MIN,304.6,"1,370.60",10.1,29.9,214.3,1,3,219.1
Todd Gurley,LA,293.7,"1,296.30",9.4,36.4,286.9,0.9,2.2,216
David Johnson,ARI,231,918.3,8,56.9,498.5,2.8,2,203
Lamar Miller,HOU,268.1,"1,181.50",7.4,48.1,355.8,1.5,2.3,202.8
Ezekiel Elliott,DAL,253.9,"1,132.40",8.3,40.4,323.2,1.7,2.2,201.1
Jamaal Charles,KC,207.4,"1,038.80",8.3,43.6,351.6,2.8,3,199.7
Le'Veon Bell,PIT,212.7,983.4,7.7,50.1,437.6,2,1.4,197.5
Eddie Lacy,GB,234,"1,074.10",7.6,33,297.4,1.8,2.2,189.3
Mark Ingram,NO,223.7,989.4,8.1,52.4,358.4,1.3,2,187.1
LeSean McCoy,BUF,252.9,"1,101.90",7,39.9,291.3,1.6,2.4,186.2
Devonta Freeman,ATL,215.3,858.7,7.1,63.2,478.9,2.2,2.2,185.2
Doug Martin,TB,271,"1,157.40",6.7,31.9,228.6,1,2.7,179.1
Carlos Hyde,SF,256.7,"1,074.70",7.1,32.2,200,0.9,2,171.4
Matt Forte,NYJ,209.1,880.3,5.2,44.9,382,2,1.9,165.7
C.J. Anderson,DEN,230.4,"1,024.10",6,33.8,258.9,0.8,1.8,165.3
Latavius Murray,OAK,234.2,985.2,6.5,35.9,231.8,1,1.9,162.8
DeMarco Murray,TEN,209.7,933.3,6.3,31.8,242.3,1,2.2,157
Jonathan Stewart,CAR,233.8,"1,018.80",6,21.3,161.2,0.9,2.3,154.9
Thomas Rawls,SEA,216.2,979.8,5.8,21.3,170.1,0.8,1.7,150.9
Jeremy Hill,CIN,218.6,939.5,6.9,18.7,143.2,0.7,2.7,148.2
Melvin Gordon,SD,236.7,936.9,4.9,34.1,215,0.9,2.8,144.3
Ryan Mathews,PHI,194.8,843.2,5.4,30.3,217.4,1,2.2,139.8
Giovani Bernard,CIN,149.7,653.8,4.1,48.1,414.2,1.8,1.3,139.8
Frank Gore,IND,199.3,819.8,5.1,30.5,239.5,1.2,2.1,139.7
Ameer Abdullah,DET,184.2,805.4,4.7,34.2,269.6,1.2,2.2,138.3
Jeremy Langford,CHI,199.3,728.9,4.7,34,293.9,1.6,1.2,137.8
Duke Johnson,CLE,136.5,548.3,3.2,57.2,487.8,2.1,1.2,133.1
Rashad Jennings,NYG,182.9,756.6,5.2,30.8,241.7,1,1.9,133
T.J. Yeldon,JAC,162.9,711.7,4.4,37.7,276.3,1.1,1.7,128.7
Arian Foster,MIA,161.8,646.6,4.4,37.6,305.9,1.6,2.1,127.5
LeGarrette Blount,NE,189.6,785.9,6.9,10.8,71.3,0.4,1.3,127.3
Danny Woodhead,SD,95.5,357.3,2.1,72.3,596.1,3.6,1.3,127
