Player Name,fpts,ATT,YDS,TDS,REC,YDS,TDS,FL,value
Todd Gurley LAR,281,295.6,"1,318.40",11.3,64.6,631.7,3.8,2.5,$99.68
Le'Veon Bell PIT,266.2,308.5,"1,301.00",10.1,82.8,660.8,2.8,3.7,$90.62
Ezekiel Elliott DAL,250,317.5,"1,366.90",10.7,42.8,404.7,2.1,2,$80.70
Alvin Kamara NO,234.8,179.7,882.6,7.9,76.3,741.7,4.6,1.4,$71.39
David Johnson ARI,234.2,261,997,7.8,77,787.4,3.2,5.3,$71.03
Leonard Fournette JAC,208.2,299.7,"1,179.80",9.4,36.6,306.2,1,1.3,$55.11
Saquon Barkley NYG,206.6,256.3,"1,090.50",7.5,54.7,437.2,2.1,1.7,$54.13
Kareem Hunt KC,205,237.2,"1,074.50",8.1,50.2,409.1,2.2,2.5,$53.15
Melvin Gordon LAC,204.7,268,"1,032.10",7.4,52.5,440.7,2.5,1,$52.96
LeSean McCoy BUF,198.7,253.2,"1,093.80",6.5,57.3,423.5,1.8,1.3,$49.29
Dalvin Cook MIN,192.8,260.8,"1,089.30",7,43.9,363.1,1.7,2.4,$45.68
Devonta Freeman ATL,187.5,220.3,928.9,7.9,46.1,393.7,2,2.3,$42.43
Jerick McKinnon SF,173.3,201.3,809.3,6.5,57.1,463.5,2.1,2.9,$33.74
Christian McCaffrey CAR,160.6,146.6,571,3.5,71.7,619.3,4.1,1.8,$25.96
Jordan Howard CHI,157.9,236.9,943.2,7.3,24.2,177.8,0.8,1.3,$24.31
Joe Mixon CIN,152.6,219.2,837.8,6.4,35.6,310.2,0.9,2.9,$21.06
Derrick Henry TEN,150.3,212.6,886,6.6,20.9,191.1,0.9,1.2,$19.65
Alex Collins BAL,147.1,222.2,934.5,5.7,29.8,230.7,0.8,4.2,$17.70
Jay Ajayi PHI,143.9,221.6,956.2,5.5,24.6,182.5,0.9,4,$15.74
Kenyan Drake MIA,143.4,183.9,784.4,5.3,39.5,299.5,1.4,2.4,$15.43
Lamar Miller HOU,141,204.9,782.4,4.3,33.8,281.7,1.9,1.5,$13.96
Rashaad Penny SEA,137.7,183.5,762.5,4.8,32.3,264.7,1.5,1.3,$11.94
Tevin Coleman ATL,134.4,150.2,624.3,4.6,32.2,329.2,2.2,1,$9.92
Marshawn Lynch OAK,134,175.9,751.4,6.9,21.3,163,0.8,1.6,$9.67
Royce Freeman DEN,133.4,188.1,773.8,5,31.6,248.5,0.9,2.1,$9.31
Sony Michel NE,132.2,165.8,694.2,6.3,25.8,209.4,1.1,1.2,$8.57
Derrius Guice WAS,130.9,189.1,757.2,5.9,24.6,201.4,0.7,2.3,$7.78
Mark Ingram NO,128.9,155.3,707.7,5.7,34,243.3,1,3,$6.55
Isaiah Crowell NYJ,125.7,186.3,737.2,4.7,29.6,218.3,0.8,1.4,$4.59
Dion Lewis TEN,118.2,142,615.2,3.9,36,272.7,1.7,2.2,$0.00
Marlon Mack IND,117.9,148.5,588.1,4.7,27.4,261.1,1.2,1.1,
Ronald Jones II TB,113.1,183.4,725,3.7,24.3,194.3,0.5,2,
Chris Thompson WAS,113,84.3,352.6,2.2,54.1,527.9,3.1,3.5,
Rex Burkhead NE,112.5,113.4,482.5,4.7,31.4,274.2,1.8,1,
Jamaal Williams GB,109.8,133.3,548,4,26.2,246.4,1.4,1,
James White NE,101.6,81.8,317.7,2.8,48.2,386,2.7,1,
Devontae Booker DEN,100.2,124.5,492.1,2.8,38.1,329.6,1,2.3,
Kerryon Johnson DET,97.2,136.2,527.1,3.8,25.4,199.2,0.9,1.8,
Tarik Cohen CHI,96.9,89.4,355.1,2.1,57.5,432.4,1.7,2.5,
C.J. Anderson CAR,95.9,142.6,593.3,3.9,14.1,114.1,0.6,1.1,
Bilal Powell NYJ,95.4,113.2,468.1,3.1,36.1,263.8,1.1,1.4,
Aaron Jones GB,93.6,122.3,545.6,4.2,16.1,116,0.7,1,
Duke Johnson CLE,93.3,68.6,294.6,1.7,51.9,476.8,1.8,2.3,
Matt Breida SF,90.4,118.8,504.6,4,16.6,139.8,0.9,1.5,
Carlos Hyde CLE,89.2,124,523.2,3.8,25.2,164.4,0.6,3.1,
D'Onta Foreman HOU,85.3,129.5,520,3.4,14.1,124.6,0.7,1.9,
Giovani Bernard CIN,81.7,88.7,362.6,2,32.9,288.3,1.2,1.5,
Theo Riddick DET,81.3,60,227.3,1.3,50.5,409.5,2.1,1.5,
Nick Chubb CLE,80.6,114.2,496.7,3.8,13.5,103.1,0.3,2,
Frank Gore MIA,78.7,109.6,427.4,2.2,24.9,187.6,1.1,1.3,
Corey Clement PHI,77.4,79.2,323.1,2.8,21.4,214.9,1.6,1.5,
Austin Ekeler LAC,76.7,91.8,366.8,2.2,26.3,252,1.9,5,
Latavius Murray MIN,76.3,110.5,428.5,3.3,16.4,122.3,0.6,1.3,
Ty Montgomery GB,73.5,62.8,270.2,2.2,36.9,282.9,1.2,1,
Chris Ivory BUF,68.7,107.1,428.8,2.6,16.1,126.4,0.5,2.7,
Javorius Allen BAL,68.7,87.4,342.9,2.3,26.6,176,0.8,0.9,
Peyton Barber TB,68,114.8,453.3,2.9,10.2,76.7,0.1,1.7,
T.J. Yeldon JAC,67.5,73.6,338.6,2,26.4,206.1,0.7,1.4,
Chris Carson SEA,66.6,93.9,382.2,2.3,14.5,119.4,0.8,1.2,
LeGarrette Blount DET,61.9,98.8,390.8,3.4,6.2,44,0.2,1.6,
Kenneth Dixon BAL,61.6,83.6,347.3,2.2,19.8,129.2,0.5,0.9,
Spencer Ware KC,61.5,81,355.6,2.5,11.8,123.9,0.5,2.3,
Doug Martin OAK,61,97.4,370,3,10.2,84,0.2,1.9,
Darren Sproles PHI,56.6,56.6,251.1,1.5,25,219.2,1.1,3,
Nyheim Hines IND,51.2,75.9,294.5,1.9,13.6,107.9,0.3,1.3,
De'Angelo Henderson DEN,50,65.9,260.7,1.6,12.9,107.1,1.2,1.9,
Robert Turbin IND,49.7,68.6,250,2.4,14.2,105.2,0.4,1.1,
Jalen Richard OAK,45.4,50.7,217.7,1.4,19.7,166.1,0.8,3.1,
Jonathan Stewart NYG,43.6,71.6,274.3,2.3,5,33.5,0.1,0.9,
Elijah McGuire NYJ,42.8,59.8,224.8,1.3,15.8,142.8,0.5,2.4,
James Conner PIT,41.7,68,269.1,2,5.6,39.6,0.2,1,
Wayne Gallman NYG,41.6,50.1,202.7,0.8,23.8,153.2,0.8,1.8,
Rod Smith DAL,38.3,51,209.1,1.4,8.6,82.1,0.5,1.3,
Christine Michael IND,37.7,55,214,1.6,13,81,0.5,2.2,
Tavon Austin DAL,37.5,27.7,135.5,1,15.5,137.2,0.7,0,
Jordan Wilkins IND,35.7,52.2,208.3,1.3,7.5,60.5,0.3,0.1,
C.J. Prosise SEA,35.4,31.8,127.5,0.7,14.4,146.1,0.7,0.2,
Corey Grant JAC,35.3,48,204,1.6,9.2,75.2,0.2,1.7,
Kyle Juszczyk SF,33.8,7.2,28.4,0.3,32.6,293.3,1.4,4.2,
DeAndre Washington OAK,33.7,32.6,126.6,1,17.3,120,0.6,0.2,
Joe Williams SF,33.5,48.3,187.8,1.3,7.4,59.8,0.2,0,
Charles Sims TB,33.3,36.1,130.1,0.5,21.8,170.5,0.6,1.7,
Wendell Smallwood PHI,33.3,55.5,213,1.1,8.5,68.5,0.3,1.5,
Ameer Abdullah DET,32.9,44.4,156.2,1.2,13.7,94.4,0.6,1.6,
Chase Edmonds ARI,31.5,51.6,182.6,1.4,8.7,68.2,0.2,1.5,
Malcolm Brown LAR,31.1,53.5,208.2,1.6,5.3,37,0.1,1.8,
Samaje Perine WAS,28.6,59,218.2,1.2,9.5,73.8,0.2,4.3,
Mike Gillislee NE,28.2,41,156,2.1,1,8.5,0,0.3,
John Kelly LAR,27.9,40.1,157.7,1.3,5,39.3,0.2,0.1,
Alfred Blue HOU,25.9,40.8,160,1,4.5,34.1,0.2,0.2,
Robert Kelley WAS,24.6,30.5,106,1.9,4.5,32,0.1,0.3,
Cameron Artis-Payne CAR,23,39.6,153.2,1.1,4.2,29.1,0.1,1.1,
Elijhaa Penny ARI,21.7,30.1,118.8,1.1,4.1,34.5,0,0.2,
Travaris Cadet BUF,21.4,25.3,100.8,0.6,9.3,71,0.1,0.1,
Thomas Rawls NYJ,18.8,49.5,177.5,1.4,4,34,0.1,5.4,
Jacquizz Rodgers TB,18.3,27.7,107.9,0.5,6,49,0,0.3,
Jeremy Hill NE,18,24,97,1.2,2,15,0,0.2,
T.J. Logan ARI,17.8,26,106.9,0.5,4.6,34.8,0.1,0,
Tyler Ervin HOU,17.6,25,95.5,0.5,7.5,56,0,0.3,
Kalen Ballage MIA,16.9,29.4,115,0.8,4.7,34,0.1,1.5,
Charcandrick West KC,16.3,15.5,60.5,0.7,8,56,0.2,0.1,
Mark Walton CIN,15.5,31.5,118.6,0.6,3.5,27,0.2,1.8,
Kapri Bibbs WAS,15.4,12,47,0.3,6,65,0.5,0.3,
J.D. McKissic SEA,14.7,11.8,47.5,0.3,7.4,63.6,0.3,0,
Matt Jones PHI,14.7,24,111,0.5,2,14,0,0.4,
Boston Scott NO,14.7,17.7,72.3,0.7,4.6,34.5,0.2,0.4,
Trey Edmunds NO,13.4,14.5,61.5,0.8,3.5,28,0.1,0.5,
Tommy Bohanon JAC,13.3,4.8,17.4,1.1,5.3,43.9,0.1,0,
D.J. Foster ARI,12.1,8.5,32,0,8,63,0.5,0.2,
Benny Cunningham CHI,11.4,8.2,32.9,0.1,8.1,69.3,0.1,0.2,
Justin Jackson LAC,11.4,19.1,69.5,0.4,2.1,16.1,0.1,0.1,
Brian Hill CIN,10.3,14,48.5,0.6,2.5,25,0,0.2,
Zach Zenner DET,9.8,12,44,0.6,2,22,0,0.2,
Ito Smith ATL,9.7,14.8,55.3,0.3,3,23.4,0.1,0.1,
Jamize Olawale DAL,9.5,7.8,32.4,0.3,4.3,38.2,0.1,0,
Josh Adams PHI,9.4,12.7,53.1,0.3,2.1,16.7,0.1,0,
Kerwynn Williams KC,8.9,13.5,59.5,0.2,2.5,22,0,0.1,
Andy Janovich DEN,8.8,5.1,17.9,0.6,3.4,28.2,0.1,0,
David Williams DEN,8.7,11.7,42.9,0.3,3.2,24.9,0.1,0.1,
CJ Ham MIN,8.4,11.1,41.4,0.1,4.5,37,0.1,0,
Raheem Mostert SF,8.3,22,80,0.9,4,27,0.1,4.2,
Damien Williams KC,8.2,8.2,33.7,0.3,2.9,23.5,0.2,0.1,
Aaron Ripkowski GB,8.1,5.3,19.6,0.1,6.2,43.3,0.2,0.1,
Bo Scarbrough DAL,7.7,12,43,0.3,2,12,0.1,0.1,
Stevan Ridley PIT,7.3,16,60.5,0.2,0.5,2.5,0,0.1,
Anthony Sherman KC,7.1,5.9,18.8,0.2,4.6,34.3,0.1,0,
Dwayne Washington DET,6.8,13,45,0.3,2,9,0,0.2,
Fozzy Whittaker CAR,6.4,9.7,36.1,0.1,2.7,22,0.1,0,
Donnel Pumphrey PHI,6.2,12,41,0.3,1,5,0,0.1,
Dalton Crossan TB,6.1,10,29,0.2,2,16,0.1,0.1,
Mack Brown MIN,6.1,9.4,38.5,0.1,2,14.3,0,0.1,
Patrick DiMarco BUF,5.3,2.7,7.3,0,5.2,36.1,0.1,0,
Trenton Cannon NYJ,5.3,10,31,0.2,2,12,0,0.1,
Akrum Wadley TEN,5.2,6.2,24.8,0.1,1.9,15.3,0.1,0,
Josh Ferguson IND,4.9,5,21,0,4,28,0,0,
Fitzgerald Toussaint PIT,4.8,7.3,28.4,0.1,1.5,11.6,0,0.1,
Keith Smith OAK,4.7,2.9,9.5,0.2,3.6,22.9,0.1,0,
Kenjon Barner CAR,4.7,5,23,0.4,0,4,0,0.2,
Roosevelt Nix PIT,4.5,2.5,6.6,0.3,1.4,8.4,0.2,0,
Derek Watt LAC,4.4,4.3,15.9,0.1,2,20.1,0,0,
James Develin NE,4,1.5,5,0,5,34.5,0,0,
Jay Prosch HOU,3.9,2.5,8.5,0,4,30,0,0,
Michael Burton CHI,3.6,3.2,10.6,0.1,2.4,17.5,0.1,0,
Devante Mays GB,3.6,7,23,0.2,1,3,0,0.1,
Senorise Perry MIA,3.6,8.5,33,0,1,7,0,0.2,
Justin Davis LAR,3.6,6,19.5,0.2,0.5,6,0.1,0.1,
David Fluellen TEN,3.2,6.5,28,0,1,7.5,0,0.2,
Shane Smith NYG,3,6,17,0.1,1,9,0,0.1,
Jalston Fowler SEA,2.9,2,5,0.3,1,6,0,0,
Brandon Bolden NE,2.8,4,20,0.2,0,0,0,0.2,
Byron Marshall WAS,2.7,4,11,0,3,20,0,0.2,
Dan Vitale CLE,2.5,1.5,5.5,0,3,19.5,0,0,
Daniel Lasco NO,2.4,5,15,0.1,1,7,0,0.2,
Austin Johnson TB,1.5,2,6,0,1,9,0,0,
Marquez Williams CLE,1.4,1,6,0,1,8,0,0,
Nick Bawden DET,1.4,2,6,0,1,8,0,0,
Derrick Coleman ARI,0.9,1,2,0,1,7,0,0,
Taiwan Jones BUF,0.6,0,-1,0,1,9,0,0.1,
Brandon Wilson CIN,0,0,0,0,0,0,0,0,
