Player Name,fpts,REC,YDS,TDS,FL,value
Rob Gronkowski NE,156,70.3,"1,067.60",8.3,0.3,$38.76
Travis Kelce KC,127.2,75.2,911.7,6.1,0.2,$21.12
Zach Ertz PHI,120.6,76.8,834.3,6.6,1.1,$17.08
Jimmy Graham GB,110.3,61.6,664.5,7.6,1,$10.78
Greg Olsen CAR,110,64.5,812.3,4.9,0.3,$10.59
Hunter Henry LAC,107.3,58.7,741.3,5.7,0.4,$8.94
Delanie Walker TEN,106.1,68.9,785.2,5.3,2.2,$8.20
Evan Engram NYG,101.2,63.2,692.2,5.5,0.4,$5.20
Kyle Rudolph MIN,96.8,61.1,587.5,6.4,0.3,$2.51
Jordan Reed WAS,92.7,62,646.6,4.9,0.7,$0.00
Jared Cook OAK,82.4,52.3,634.5,3.6,1.4,
Jack Doyle IND,81.6,61.2,583.8,4.6,2.2,
Charles Clay BUF,78.6,57,590.5,3.3,0.2,
Tyler Eifert CIN,78.6,42.1,492.4,5,0.4,
George Kittle SF,77.1,47.5,560.9,3.6,0.4,
Cameron Brate TB,74.6,44.2,516.5,4,0.4,
David Njoku CLE,72.9,39.4,477.1,4.3,0.4,
Benjamin Watson NO,72.7,46,478.6,4.2,0.3,
Vance McDonald PIT,70.8,40.7,507.8,3.4,0.2,
Austin Seferian-Jenkins JAC,68.3,46.8,499,3.4,1.1,
O.J. Howard TB,68.3,36.9,512.8,4,3.4,
Eric Ebron IND,67.9,45.7,501.5,3.3,0.9,
Austin Hooper ATL,67.9,44.6,481.4,3.4,0.2,
Ricky Seals-Jones ARI,67.6,38.3,475.5,3.4,0.3,
Trey Burton CHI,64.3,41.7,451.2,3.3,0.3,
Ed Dickson SEA,61.6,35.5,448.2,2.9,0.3,
Rico Gathers DAL,52.2,33.5,360,2.7,0,
Vernon Davis WAS,51.5,32.3,426.6,2.4,2.8,
Luke Willson DET,47.8,30,317.9,2.8,0.4,
Ryan Griffin TB,46.6,33.3,354.2,2.3,1.4,
Mike Gesicki MIA,46.5,33,326.8,2.5,0.5,
Garrett Celek SF,46.3,24.4,298.6,2.9,0.4,
Jonnu Smith TEN,39.3,25.7,256.8,2.4,0.3,
Hayden Hurst BAL,38.7,30.6,281.1,1.9,0.3,
Jake Butt DEN,37.8,25.6,269.9,2,0.6,
