Player Name,REC,YDS,TDS,ATT,YDS,TDS,FL,fpts
DeAndre Hopkins HOU,104.5,"1,465.00",10.1,0.5,-0.6,0,0.9,205.4
Julio Jones ATL,106.1,"1,554.50",8.3,1.6,10.8,0,0.9,204.3
Tyreek Hill KC,82.6,"1,316.40",8.9,14.4,103.7,1,0.5,200.1
Davante Adams GB,104.9,"1,331.10",10.7,0,0,0,0.5,196.5
JuJu Smith-Schuster PIT,104,"1,384.50",8.7,0.5,4.5,0,0.5,190.4
Michael Thomas NO,113.2,"1,339.50",8.4,0,0,0,0.6,183
Mike Evans TB,87.1,"1,388.90",7.5,0,0,0,0.5,182.6
Odell Beckham Jr. CLE,89,"1,249.20",9,4.1,16.9,0,0.5,180
Antonio Brown OAK,95.2,"1,221.70",8.9,0,0,0,0.5,174.6
Keenan Allen LAC,98.2,"1,273.40",6.7,3.7,27.6,0,0.6,169.2
T.Y. Hilton IND,79.7,"1,255.60",6.5,0,0,0,0.5,163.5
Adam Thielen MIN,90.5,"1,171.00",6.7,3.6,20.9,0,0.5,158.6
Julian Edelman NE,92.8,"1,111.00",6.5,8.3,76.5,0.2,0.5,158.2
Brandin Cooks LAR,74.9,"1,136.90",6.1,7.6,46.4,0.4,0.5,156.4
Amari Cooper DAL,81.1,"1,101.10",7.7,1.2,9.2,0,1,155.1
Robert Woods LAR,78.4,"1,064.90",5.7,11.9,84.8,0.8,0.5,152.4
Stefon Diggs MIN,90.4,"1,018.60",7.5,7.1,35.2,0,0.5,149.5
Tyler Lockett SEA,64.7,"1,019.60",7,8.7,54.1,0.1,0.5,148.8
Kenny Golladay DET,74,"1,090.60",6.1,0.9,6.8,0,0.5,145.4
Cooper Kupp LAR,70.8,945.4,7.4,3.6,22.9,0,0.5,140.6
Chris Godwin TB,73.2,992,6.3,0,0,0,0.6,135.6
Tyler Boyd CIN,76.2,989.8,5.8,1,3.4,0,0.4,133.1
Mike Williams LAC,56.7,836.1,7.4,3.7,19.4,0.3,0.1,132
A.J. Green CIN,64.7,940.5,6.3,0,0,0,0.9,130.1
Alshon Jeffery PHI,66.2,896.3,6.5,0,0,0,0.5,127.7
Robby Anderson NYJ,58.5,868.7,6.7,3.1,11.4,0,0.5,127.4
D.J. Moore CAR,65.3,902,4.4,13,127.8,0.1,1.3,127.3
Allen Robinson CHI,66.1,919.3,5.7,0.6,3.9,0.1,0.5,125.8
Josh Gordon NE,54,908.9,5.9,0,0,0,0.6,125.3
Sammy Watkins KC,62.9,885.8,5.9,2.8,19.2,0,0.5,124.9
Calvin Ridley ATL,64.2,808.1,6.8,5.5,28.7,0,0.5,123.7
Jarvis Landry CLE,73,863.3,5.1,3.5,30.8,0.3,0.5,120.9
Marvin Jones DET,56,830.4,6.1,0,0,0,0.5,118.7
Christian Kirk ARI,65.4,864.1,4.8,2.2,18.2,0,0.5,116.2
Dante Pettis SF,56.4,798.3,5.8,0.9,0.1,0,0.4,113.9
Sterling Shepard NYG,64.7,848.2,4.6,2.6,16,0,0.4,113.3
Will Fuller HOU,54.6,790.5,5.7,0.5,2.4,0,0.4,112.6
Curtis Samuel CAR,53.7,670,4.7,10.8,97.6,1.1,0.4,111.1
Dede Westbrook JAC,67.7,779.6,5,4.7,40.1,0,1,110.3
Corey Davis TEN,60.9,799.5,4.3,4,32.4,0,0.5,108.1
Larry Fitzgerald ARI,69,754.5,5.5,0,0,0,0.5,107.3
Emmanuel Sanders DEN,63.5,769.5,4,1.5,14.4,0.3,0.5,102.8
Kenny Stills MIA,47.9,727,4.9,0,0,0,0.5,101.1
Courtland Sutton DEN,48.7,732.5,4.7,0.5,0.2,0,0.1,101
DeSean Jackson PHI,43.6,712.5,4.1,4.1,27.9,0.4,0.4,100.1
Mohamed Sanu ATL,60,732,3.7,3.7,24.4,0.1,0.5,97.4
Michael Gallup DAL,46,700.7,4.3,0,-0.2,0,0.1,95.6
Donte Moncrief PIT,49.6,667.3,4.5,0,0,0,0.4,92.9
Tyrell Williams OAK,50.1,705.9,3.8,0.6,3.9,0,0.5,92.8
